,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
115,완숙토마토,,,,,,,,,,,,,,,,
116,완숙토마토,,,,,,,,,,,,,,,,
117,콩국물,,,,,,,,,,,,,,,,
118,얼음식혜,,,,,,,,,,,,,,,,
119,완숙토마토,,,,,,,,,,,,,,,,
120,완숙토마토,,,,,,,,,,,,,,,,
121,유정란/친환경,,,,,,,,,,,,,,,,
122,무,,,,,,,,,,,,,,,,
123,연두부,얼음식혜,,,,,,,,,,,,,,,
124,유정란/친환경,,,,,,,,,,,,,,,,
125,유정란/친환경,당근,감자라면,,,,,,,,,,,,,,
126,콩국물,,,,,,,,,,,,,,,,
127,깐마늘/난지형/유,중파,,,,,,,,,,,,,,,
128,찌개용두부,,,,,,,,,,,,,,,,
129,콩국물,상추,찌개용두부,,,,,,,,,,,,,,
130,닭가슴살,,,,,,,,,,,,,,,,
131,무,,,,,,,,,,,,,,,,
132,상추,,,,,,,,,,,,,,,,
133,방울토마토/대추형,당근,,,,,,,,,,,,,,,
134,오이,,,,,,,,,,,,,,,,
135,유정란/친환경,,,,,,,,,,,,,,,,
136,깻잎,,,,,,,,,,,,,,,,
137,유정란/친환경,,,,,,,,,,,,,,,,
138,유정란/친환경,,,,,,,,,,,,,,,,
139,상추,깐마늘/난지형/유,중파,,,,,,,,,,,,,,
140,당근,유기농우유,,,,,,,,,,,,,,,
141,가지,,,,,,,,,,,,,,,,
142,오이,,,,,,,,,,,,,,,,
143,얼음식혜,단무지,,,,,,,,,,,,,,,
144,무,,,,,,,,,,,,,,,,
145,백미/유,,,,,,,,,,,,,,,,
146,유정란/친환경,오이,,,,,,,,,,,,,,,
147,무,,,,,,,,,,,,,,,,
148,대파,,,,,,,,,,,,,,,,
149,닭가슴살,,,,,,,,,,,,,,,,
150,대파,,,,,,,,,,,,,,,,
151,콩나물,,,,,,,,,,,,,,,,
152,콩나물,,,,,,,,,,,,,,,,
153,중파,,,,,,,,,,,,,,,,
154,중파,,,,,,,,,,,,,,,,
155,동물복지유정란,당근,중파,양배추,,,,,,,,,,,,,
156,대파,,,,,,,,,,,,,,,,
157,찌개용두부,,,,,,,,,,,,,,,,
158,당근,느타리버섯,,,,,,,,,,,,,,,
159,딸기/,,,,,,,,,,,,,,,,
160,양파,,,,,,,,,,,,,,,,
161,당근,대파,,,,,,,,,,,,,,,
162,당근,,,,,,,,,,,,,,,,
163,양파,,,,,,,,,,,,,,,,
164,월동무,,,,,,,,,,,,,,,,
165,당근,양배추,,,,,,,,,,,,,,,
166,당근,,,,,,,,,,,,,,,,
167,두부,,,,,,,,,,,,,,,,
168,당근,당근,,,,,,,,,,,,,,,
169,두부,,,,,,,,,,,,,,,,
170,중파,,,,,,,,,,,,,,,,
