,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,all-confidence,collective strength,cosine similarity
49,frozenset({'시금치'}),frozenset({'두부'}),0.03568679588552236,0.21188160380659157,0.005807851095094815,0.1627450980392157,0.7680945165384515,-0.0017535244518481355,0.9413123701607453,-0.23844135956589774,{'두부 => 시금치': 0.027410832232496695},2.9760663141219217,0.06679055755879096
51,frozenset({'유정란/친환경'}),frozenset({'대파'}),0.20859282065635715,0.036666433419634735,0.00573787698551536,0.027507547802750755,0.7502106214677692,-0.0019104777848947688,0.9905820496640458,-0.2961303944590248,{'유정란/친환경 => 대파': 0.027507547802750755},2.9738130307035275,0.06560957444770608
50,frozenset({'대파'}),frozenset({'유정란/친환경'}),0.036666433419634735,0.20859282065635715,0.00573787698551536,0.15648854961832062,0.7502106214677692,-0.0019104777848947688,0.9382293257377122,-0.25685482490671957,{'유정란/친환경 => 대파': 0.027507547802750755},2.9738130307035275,0.06560957444770608
29,frozenset({'중파'}),frozenset({'두부'}),0.04940172136309565,0.21188160380659157,0.007837100272899028,0.15864022662889518,0.7487210960216449,-0.0026302156803200364,0.9367198446339164,-0.26093021990619303,{'두부 => 중파': 0.03698811096433289},2.9648808211565747,0.07660158161524143
28,frozenset({'두부'}),frozenset({'중파'}),0.21188160380659157,0.04940172136309565,0.007837100272899028,0.03698811096433289,0.7487210960216449,-0.0026302156803200364,0.987109597980983,-0.29865809126046905,{'두부 => 중파': 0.03698811096433289},2.9648808211565747,0.07660158161524143
14,frozenset({'두부'}),frozenset({'양파'}),0.21188160380659157,0.06689524875795956,0.010566090546497795,0.049867899603698806,0.745462503385418,-0.0036077820473795798,0.9820789665488002,-0.3022830394578142,{'두부 => 양파': 0.049867899603698806},2.95301119879439,0.0887503482234816
15,frozenset({'양파'}),frozenset({'두부'}),0.06689524875795956,0.21188160380659157,0.010566090546497795,0.15794979079497906,0.745462503385418,-0.0036077820473795798,0.935951784796147,-0.2678969550743672,{'두부 => 양파': 0.049867899603698806},2.95301119879439,0.0887503482234816
1,frozenset({'두부'}),frozenset({'유정란/친환경'}),0.21188160380659157,0.20859282065635715,0.03260793506402631,0.15389696169088507,0.7377864741779399,-0.011589046319183366,0.9353555577878807,-0.310798616491277,{'두부 => 유정란/친환경': 0.15389696169088507},2.8676173228457094,0.15510542685899542
0,frozenset({'유정란/친환경'}),frozenset({'두부'}),0.20859282065635715,0.21188160380659157,0.03260793506402631,0.15632338141563235,0.7377864741779399,-0.011589046319183366,0.9341474906769585,-0.30990732091693923,{'두부 => 유정란/친환경': 0.15389696169088507},2.8676173228457094,0.15510542685899542
60,frozenset({'찌개용두부'}),frozenset({'오이'}),0.09012665313833881,0.07907074382478484,0.00524805821845917,0.05822981366459627,0.7364267850272082,-0.001878323283627659,0.9778704715199317,-0.28231064731682914,{'찌개용두부 => 오이': 0.05822981366459627},2.9675431603602744,0.06216760122005275
61,frozenset({'오이'}),frozenset({'찌개용두부'}),0.07907074382478484,0.09012665313833881,0.00524805821845917,0.0663716814159292,0.7364267850272082,-0.001878323283627659,0.9745562862120163,-0.27986999248553657,{'찌개용두부 => 오이': 0.05822981366459627},2.9675431603602744,0.06216760122005275
11,frozenset({'오이'}),frozenset({'유정란/친환경'}),0.07907074382478484,0.20859282065635715,0.011545728080610175,0.14601769911504425,0.7000130620775235,-0.004947861405197927,0.9267255053454055,-0.3175642975663716,{'유정란/친환경 => 오이': 0.055350553505535055},2.9365396912292105,0.08990083685718603
10,frozenset({'유정란/친환경'}),frozenset({'오이'}),0.20859282065635715,0.07907074382478484,0.011545728080610175,0.055350553505535055,0.7000130620775233,-0.004947861405197927,0.9748899547792317,-0.35128004129782225,{'유정란/친환경 => 오이': 0.055350553505535055},2.9365396912292105,0.08990083685718603
7,frozenset({'유정란/친환경'}),frozenset({'찌개용두부'}),0.20859282065635715,0.09012665313833881,0.013155132600937654,0.06306608520630662,0.6997495525491676,-0.005644640193505562,0.971117954527251,-0.35156597846970195,{'유정란/친환경 => 찌개용두부': 0.06306608520630662},2.9286330190479166,0.0959442450136072
6,frozenset({'찌개용두부'}),frozenset({'유정란/친환경'}),0.09012665313833881,0.20859282065635715,0.013155132600937654,0.14596273291925466,0.6997495525491675,-0.005644640193505562,0.9266658609041927,-0.3204606458470932,{'유정란/친환경 => 찌개용두부': 0.06306608520630662},2.9286330190479166,0.0959442450136072
39,frozenset({'두부'}),frozenset({'양배추'}),0.21188160380659157,0.046322860541599606,0.006857462738786649,0.03236459709379128,0.6986744064461801,-0.0029574992456765535,0.9855748731331182,-0.35368358675998024,{'두부 => 양배추': 0.03236459709379128},2.9604580381342984,0.06921801578164863
38,frozenset({'양배추'}),frozenset({'두부'}),0.046322860541599606,0.21188160380659157,0.006857462738786649,0.14803625377643506,0.6986744064461801,-0.0029574992456765535,0.9250609543972276,-0.3114040605054495,{'두부 => 양배추': 0.03236459709379128},2.9604580381342984,0.06921801578164863
24,frozenset({'당근'}),frozenset({'두부'}),0.05660905464977958,0.21188160380659157,0.008326919039955217,0.14709517923362175,0.6942328951214295,-0.003667498249215072,0.9240402645224165,-0.31827528139302574,{'두부 => 당근': 0.0392998678996037},2.95173914801771,0.07603171122991947
25,frozenset({'두부'}),frozenset({'당근'}),0.21188160380659157,0.05660905464977958,0.008326919039955217,0.0392998678996037,0.6942328951214295,-0.003667498249215072,0.9819827372019482,-0.3585008519518313,{'두부 => 당근': 0.0392998678996037},2.95173914801771,0.07603171122991947
64,frozenset({'유정란/친환경'}),frozenset({'시금치'}),0.20859282065635715,0.03568679588552236,0.005108109999300259,0.024488426702448846,0.6862041294209734,-0.0023358994146485297,0.9885205163223033,-0.3662148604011523,{'유정란/친환경 => 시금치': 0.024488426702448846},2.968036497564038,0.05920478169080943
65,frozenset({'시금치'}),frozenset({'유정란/친환경'}),0.03568679588552236,0.20859282065635715,0.005108109999300259,0.1431372549019608,0.6862041294209734,-0.0023358994146485297,0.9236102093026496,-0.3216731396822827,{'유정란/친환경 => 시금치': 0.024488426702448846},2.968036497564038,0.05920478169080943
12,frozenset({'오이'}),frozenset({'두부'}),0.07907074382478484,0.21188160380659157,0.011405779861451262,0.14424778761061946,0.6807942974713879,-0.0053478561543242945,0.9209656542901256,-0.337366445813835,{'두부 => 오이': 0.05383091149273447},2.9318782618928045,0.08811918002279649
13,frozenset({'두부'}),frozenset({'오이'}),0.21188160380659157,0.07907074382478484,0.011405779861451262,0.05383091149273447,0.6807942974713879,-0.0053478561543242945,0.9733241841879761,-0.3730118343922768,{'두부 => 오이': 0.05383091149273447},2.9318782618928045,0.08811918002279649
46,frozenset({'브로컬리'}),frozenset({'두부'}),0.04289412917220629,0.21188160380659157,0.006087747533412637,0.1419249592169657,0.6698314373083412,-0.003000729349481537,0.9184725795942192,-0.33993553479440425,{'두부 => 브로컬리': 0.028731836195508585},2.959733472221839,0.06385737764954098
47,frozenset({'두부'}),frozenset({'브로컬리'}),0.21188160380659157,0.04289412917220629,0.006087747533412637,0.028731836195508585,0.6698314373083412,-0.003000729349481537,0.9854187612603058,-0.3847781918821043,{'두부 => 브로컬리': 0.028731836195508585},2.959733472221839,0.06385737764954098
5,frozenset({'유정란/친환경'}),frozenset({'콩나물'}),0.20859282065635715,0.10041284724651879,0.013854873696732209,0.06642066420664207,0.661475757614719,-0.007090525340555072,0.9635894007754681,-0.39271001440814735,{'유정란/친환경 => 콩나물': 0.06642066420664207},2.9118629503714057,0.09573224678864578
4,frozenset({'콩나물'}),frozenset({'유정란/친환경'}),0.10041284724651879,0.20859282065635715,0.013854873696732209,0.13797909407665504,0.661475757614719,-0.007090525340555072,0.9180835103946058,-0.3626089710925343,{'유정란/친환경 => 콩나물': 0.06642066420664207},2.9118629503714057,0.09573224678864578
23,frozenset({'두부'}),frozenset({'찌개용두부'}),0.21188160380659157,0.09012665313833881,0.008396893149534672,0.03963011889035667,0.43971586107304905,-0.010699286663136937,0.9474197023029953,-0.6178475778578022,{'두부 => 찌개용두부': 0.03963011889035667},2.869020769396994,0.060763863451775556
22,frozenset({'찌개용두부'}),frozenset({'두부'}),0.09012665313833881,0.21188160380659157,0.008396893149534672,0.09316770186335403,0.439715861073049,-0.010699286663136937,0.8690894642954708,-0.5834045298042667,{'두부 => 찌개용두부': 0.03963011889035667},2.869020769396994,0.060763863451775556
