,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
106,콩나물,,,,,,,,,,,,,,,,,,
107,사과/,당근,당근,,,,,,,,,,,,,,,,
108,두부,,,,,,,,,,,,,,,,,,
109,유정란/친환경,,,,,,,,,,,,,,,,,,
110,찌개용두부,,,,,,,,,,,,,,,,,,
111,상추,,,,,,,,,,,,,,,,,,
112,유정란/친환경,오분도미/유,애호박,팽이버섯,,,,,,,,,,,,,,,
113,콩나물,,,,,,,,,,,,,,,,,,
114,시금치,완숙토마토,참기름,,,,,,,,,,,,,,,,
115,애호박,찌개용두부,,,,,,,,,,,,,,,,,
116,오분도미/유,당근,,,,,,,,,,,,,,,,,
117,두부,유정란/친환경,,,,,,,,,,,,,,,,,
118,완숙토마토,,,,,,,,,,,,,,,,,,
119,상추,,,,,,,,,,,,,,,,,,
120,상추,찌개용두부,가지,,,,,,,,,,,,,,,,
121,상추,참외,,,,,,,,,,,,,,,,,
122,가지,,,,,,,,,,,,,,,,,,
123,상추,,,,,,,,,,,,,,,,,,
124,찌개용두부,,,,,,,,,,,,,,,,,,
125,상추,,,,,,,,,,,,,,,,,,
126,찌개용두부,,,,,,,,,,,,,,,,,,
127,찌개용두부,,,,,,,,,,,,,,,,,,
128,유정란/친환경,양파,오이,오분도미/유,상추,완숙토마토,,,,,,,,,,,,,
129,찌개용두부,,,,,,,,,,,,,,,,,,
130,사과,,,,,,,,,,,,,,,,,,
131,상추,애호박,양배추,,,,,,,,,,,,,,,,
132,애호박,완숙토마토,찌개용두부,,,,,,,,,,,,,,,,
133,찌개용두부,복숭아,,,,,,,,,,,,,,,,,
134,두부,오이,양배추,,,,,,,,,,,,,,,,
135,무,,,,,,,,,,,,,,,,,,
136,오분도미/유,오분도미/유,쌈채소모음,쌈채소모음,,,,,,,,,,,,,,,
137,찌개용두부,,,,,,,,,,,,,,,,,,
138,유정란/친환경,,,,,,,,,,,,,,,,,,
139,떡국떡,동물복지유정란,,,,,,,,,,,,,,,,,
140,완숙토마토,,,,,,,,,,,,,,,,,,
141,완숙토마토,유기농저지방우유,,,,,,,,,,,,,,,,,
142,콩나물,,,,,,,,,,,,,,,,,,
143,콩나물,시금치,팽이버섯,,,,,,,,,,,,,,,,
144,유정란/친환경,어린잎채소,팽이버섯,,,,,,,,,,,,,,,,
145,콩나물,브로컬리,,,,,,,,,,,,,,,,,
146,콩나물,팽이버섯,찌개용두부,,,,,,,,,,,,,,,,
147,오이,사과/,찌개용두부,,,,,,,,,,,,,,,,
148,유정란/친환경,콩나물,상추,찌개용두부,당면,양배추,,,,,,,,,,,,,
149,콩나물,당근,,,,,,,,,,,,,,,,,
150,오이,콩나물,오분도미/유,당근,찌개용두부,,,,,,,,,,,,,,
151,참기름,중파,부추,,,,,,,,,,,,,,,,
152,콩나물,,,,,,,,,,,,,,,,,,
153,사과/,,,,,,,,,,,,,,,,,,
154,유정란/친환경,애호박,중파,,,,,,,,,,,,,,,,
155,오분도미/유,애호박,찌개용두부,,,,,,,,,,,,,,,,
156,유정란/친환경,완숙토마토,,,,,,,,,,,,,,,,,
157,유정란/친환경,오이,완숙토마토,당근,,,,,,,,,,,,,,,
158,두부,유정란/친환경,콩나물,중파,,,,,,,,,,,,,,,
159,유정란/친환경,콩나물,당면,,,,,,,,,,,,,,,,
160,얼음식혜,,,,,,,,,,,,,,,,,,
161,중파,,,,,,,,,,,,,,,,,,
162,유정란/친환경,콩나물,,,,,,,,,,,,,,,,,
163,유정란/친환경,중파,팽이버섯,찌개용두부,,,,,,,,,,,,,,,
