,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
2248,두부,유정란/친환경,팽이버섯,,,,,,,,,,,,,,,,
2249,두부,완숙토마토,,,,,,,,,,,,,,,,,
2250,오이,오이,시금치,,,,,,,,,,,,,,,,
2251,두부,,,,,,,,,,,,,,,,,,
2252,팽이버섯,,,,,,,,,,,,,,,,,,
2253,두부,브로컬리,팽이버섯,깻잎,,,,,,,,,,,,,,,
2254,찹쌀백미/유,,,,,,,,,,,,,,,,,,
2255,두부,,,,,,,,,,,,,,,,,,
2256,팽이버섯,,,,,,,,,,,,,,,,,,
2257,명태참어묵,,,,,,,,,,,,,,,,,,
2258,유정란/친환경,,,,,,,,,,,,,,,,,,
2259,브로컬리,팽이버섯,,,,,,,,,,,,,,,,,
2260,두부,깻잎,,,,,,,,,,,,,,,,,
2261,두부,,,,,,,,,,,,,,,,,,
2262,사과/,브로컬리,,,,,,,,,,,,,,,,,
2263,두부,,,,,,,,,,,,,,,,,,
2264,두부,완숙토마토,,,,,,,,,,,,,,,,,
2265,유정란/친환경,,,,,,,,,,,,,,,,,,
2266,두부,시금치,브로컬리,,,,,,,,,,,,,,,,
2267,사과/,완숙토마토,브로컬리,,,,,,,,,,,,,,,,
2268,명태참어묵,,,,,,,,,,,,,,,,,,
2269,두부,깻잎,,,,,,,,,,,,,,,,,
2270,유정란/친환경,,,,,,,,,,,,,,,,,,
2271,두부,,,,,,,,,,,,,,,,,,
2272,두부,애호박,,,,,,,,,,,,,,,,,
2273,두부,구운도시락김,,,,,,,,,,,,,,,,,
2274,브로컬리,깻잎,,,,,,,,,,,,,,,,,
2275,팽이버섯,,,,,,,,,,,,,,,,,,
2276,두부,애호박,명태참어묵,,,,,,,,,,,,,,,,
2277,깻잎,,,,,,,,,,,,,,,,,,
2278,두부,당근,가지,,,,,,,,,,,,,,,,
2279,두부,,,,,,,,,,,,,,,,,,
2280,완숙토마토,팽이버섯,가지,,,,,,,,,,,,,,,,
2281,두부,,,,,,,,,,,,,,,,,,
2282,두부,유정란/친환경,팽이버섯,,,,,,,,,,,,,,,,
2283,두부,브로컬리,,,,,,,,,,,,,,,,,
2284,두부,,,,,,,,,,,,,,,,,,
2285,두부,,,,,,,,,,,,,,,,,,
2286,명태참어묵,팽이버섯,,,,,,,,,,,,,,,,,
2287,두부,애호박,,,,,,,,,,,,,,,,,
2288,두부,명태참어묵,깻잎,깻잎,,,,,,,,,,,,,,,
2289,두부,,,,,,,,,,,,,,,,,,
2290,팽이버섯,,,,,,,,,,,,,,,,,,
2291,구운도시락김,,,,,,,,,,,,,,,,,,
2292,두부,,,,,,,,,,,,,,,,,,
2293,두부,애호박,,,,,,,,,,,,,,,,,
2294,두부,백미/유,,,,,,,,,,,,,,,,,
2295,두부,깻잎,,,,,,,,,,,,,,,,,
2296,참기름,가지,,,,,,,,,,,,,,,,,
2297,유정란/친환경,,,,,,,,,,,,,,,,,,
2298,두부,오이,,,,,,,,,,,,,,,,,
2299,두부,양파,,,,,,,,,,,,,,,,,
2300,두부,,,,,,,,,,,,,,,,,,
2301,양파,팽이버섯,찹쌀백미/유,,,,,,,,,,,,,,,,
2302,두부,,,,,,,,,,,,,,,,,,
2303,두부,완숙토마토,,,,,,,,,,,,,,,,,
2304,유정란/친환경,애호박,팽이버섯,복숭아,,,,,,,,,,,,,,,
2305,두부,,,,,,,,,,,,,,,,,,
2306,두부,애호박,,,,,,,,,,,,,,,,,
2307,두부,팽이버섯,,,,,,,,,,,,,,,,,
2308,두부,,,,,,,,,,,,,,,,,,
2309,두부,,,,,,,,,,,,,,,,,,
2310,두부,애호박,,,,,,,,,,,,,,,,,
2311,두부,명태참어묵,깻잎,,,,,,,,,,,,,,,,
2312,시금치,애호박,완숙토마토,무,,,,,,,,,,,,,,,
2313,애호박,,,,,,,,,,,,,,,,,,
2314,양파,완숙토마토,,,,,,,,,,,,,,,,,
2315,두부,팽이버섯,,,,,,,,,,,,,,,,,
2316,두부,,,,,,,,,,,,,,,,,,
2317,두부,애호박,,,,,,,,,,,,,,,,,
2318,두부,브로컬리,,,,,,,,,,,,,,,,,
2319,브로컬리,,,,,,,,,,,,,,,,,,
2320,두부,시금치,시금치,깐마늘/난지형/유,팽이버섯,,,,,,,,,,,,,,
2321,깻잎,,,,,,,,,,,,,,,,,,
2322,두부,,,,,,,,,,,,,,,,,,
2323,팽이버섯,,,,,,,,,,,,,,,,,,
2324,두부,양파,애호박,브로컬리,,,,,,,,,,,,,,,
2325,두부,,,,,,,,,,,,,,,,,,
2326,브로컬리,검은콩두유,,,,,,,,,,,,,,,,,
2327,두부,,,,,,,,,,,,,,,,,,
2328,두부,,,,,,,,,,,,,,,,,,
2329,두부,,,,,,,,,,,,,,,,,,
2330,가지,,,,,,,,,,,,,,,,,,
2331,애호박,,,,,,,,,,,,,,,,,,
2332,두부,,,,,,,,,,,,,,,,,,
2333,중파,,,,,,,,,,,,,,,,,,
2334,두부,,,,,,,,,,,,,,,,,,
2335,얼음식혜,,,,,,,,,,,,,,,,,,
2336,두부,오이,오이,상추,상추,구운도시락김,,,,,,,,,,,,,
2337,두부,동물복지유정란,당근,월동무,,,,,,,,,,,,,,,
2338,찌개용두부,,,,,,,,,,,,,,,,,,
2339,동물복지유정란,당근,월동무,,,,,,,,,,,,,,,,
2340,당근,,,,,,,,,,,,,,,,,,
2341,동물복지유정란,사과/,어린잎채소,월동무,,,,,,,,,,,,,,,
2342,두부,,,,,,,,,,,,,,,,,,
2343,유정란/친환경,양파,딸기/,브로컬리,유기농저지방우유,월동무,,,,,,,,,,,,,
2344,유정란/친환경,브로컬리,유기농저지방우유,찌개용두부,,,,,,,,,,,,,,,
2345,유정란/친환경,찌개용두부,,,,,,,,,,,,,,,,,
2346,두부,동물복지유정란,,,,,,,,,,,,,,,,,
2347,두부,유정란/친환경,유정란/친환경,찌개용두부,,,,,,,,,,,,,,,
2348,두부,유정란/친환경,브로컬리,,,,,,,,,,,,,,,,
2349,두부,유정란/친환경,시금치,참기름,브로컬리,찌개용두부,,,,,,,,,,,,,
2350,애호박,,,,,,,,,,,,,,,,,,
2351,완숙토마토,,,,,,,,,,,,,,,,,,
2352,당근,,,,,,,,,,,,,,,,,,
2353,유정란/친환경,유정란/친환경,오이,사과/,검은콩두유,,,,,,,,,,,,,,
2354,상추,,,,,,,,,,,,,,,,,,
2355,오이,,,,,,,,,,,,,,,,,,
2356,유정란/친환경,중파,,,,,,,,,,,,,,,,,
2357,양파,사과/,,,,,,,,,,,,,,,,,
2358,무,,,,,,,,,,,,,,,,,,
2359,유정란/친환경,,,,,,,,,,,,,,,,,,
2360,가지,양배추,,,,,,,,,,,,,,,,,
2361,유정란/친환경,,,,,,,,,,,,,,,,,,
2362,유정란/친환경,찌개용두부,,,,,,,,,,,,,,,,,
2363,유정란/친환경,동물복지유정란,,,,,,,,,,,,,,,,,
2364,두부,,,,,,,,,,,,,,,,,,
2365,유정란/친환경,가지,가지,,,,,,,,,,,,,,,,
2366,양파,동물복지유정란,검은콩두유,,,,,,,,,,,,,,,,
2367,오이,찌개용두부,,,,,,,,,,,,,,,,,
2368,동물복지유정란,참기름,유기농우유,,,,,,,,,,,,,,,,
2369,유정란/친환경,유정란/친환경,애호박,양배추,,,,,,,,,,,,,,,
2370,유정란/친환경,,,,,,,,,,,,,,,,,,
2371,두부,유정란/친환경,양파,,,,,,,,,,,,,,,,
2372,유정란/친환경,양파,오이,찌개용두부,,,,,,,,,,,,,,,
2373,유정란/친환경,,,,,,,,,,,,,,,,,,
2374,두부,콩나물,,,,,,,,,,,,,,,,,
2375,상추,깐마늘/난지형/유,,,,,,,,,,,,,,,,,
2376,유정란/친환경,얼갈이,,,,,,,,,,,,,,,,,
2377,양파,,,,,,,,,,,,,,,,,,
2378,유정란/친환경,,,,,,,,,,,,,,,,,,
2379,얼갈이,,,,,,,,,,,,,,,,,,
2380,콩나물,중파,,,,,,,,,,,,,,,,,
2381,애호박,,,,,,,,,,,,,,,,,,
2382,유정란/친환경,가지,,,,,,,,,,,,,,,,,
2383,두부,유정란/친환경,중파,,,,,,,,,,,,,,,,
2384,가지,,,,,,,,,,,,,,,,,,
2385,유정란/친환경,애호박,,,,,,,,,,,,,,,,,
2386,두부,,,,,,,,,,,,,,,,,,
2387,중파,,,,,,,,,,,,,,,,,,
2388,가지,,,,,,,,,,,,,,,,,,
2389,오이,,,,,,,,,,,,,,,,,,
2390,유정란/친환경,오이,,,,,,,,,,,,,,,,,
2391,유정란/친환경,,,,,,,,,,,,,,,,,,
2392,유정란/친환경,오이,,,,,,,,,,,,,,,,,
2393,양파,콩나물,부추,사과,,,,,,,,,,,,,,,
2394,두부,유정란/친환경,,,,,,,,,,,,,,,,,
2395,사과,,,,,,,,,,,,,,,,,,
2396,두부,,,,,,,,,,,,,,,,,,
2397,콩나물,,,,,,,,,,,,,,,,,,
2398,떡국떡,,,,,,,,,,,,,,,,,,
2399,쌈채소모음,,,,,,,,,,,,,,,,,,
2400,상추,,,,,,,,,,,,,,,,,,
2401,얼갈이,,,,,,,,,,,,,,,,,,
2402,시금치,,,,,,,,,,,,,,,,,,
2403,두부,월동무,찹쌀백미/유,,,,,,,,,,,,,,,,
2404,무,중파,,,,,,,,,,,,,,,,,
2405,두부,,,,,,,,,,,,,,,,,,
2406,동물복지유정란,월동무,,,,,,,,,,,,,,,,,
2407,연두부,,,,,,,,,,,,,,,,,,
2408,오이,,,,,,,,,,,,,,,,,,
2409,양파,오이,연두부,,,,,,,,,,,,,,,,
2410,오이,중파,,,,,,,,,,,,,,,,,
2411,오이,,,,,,,,,,,,,,,,,,
2412,오이,참외,가지,,,,,,,,,,,,,,,,
2413,오이,,,,,,,,,,,,,,,,,,
2414,가지,,,,,,,,,,,,,,,,,,
2415,콩국물,가지,,,,,,,,,,,,,,,,,
2416,콩국물,,,,,,,,,,,,,,,,,,
2417,백미/유,,,,,,,,,,,,,,,,,,
2418,상추,,,,,,,,,,,,,,,,,,
2419,상추,,,,,,,,,,,,,,,,,,
2420,상추,당근,,,,,,,,,,,,,,,,,
2421,콩나물,당근,,,,,,,,,,,,,,,,,
2422,상추,,,,,,,,,,,,,,,,,,
2423,상추,백미/유,,,,,,,,,,,,,,,,,
2424,상추,,,,,,,,,,,,,,,,,,
2425,두부,딸기/,유기농저지방우유,,,,,,,,,,,,,,,,
2426,양파,팽이버섯,,,,,,,,,,,,,,,,,
2427,월동무,찌개용두부,,,,,,,,,,,,,,,,,
2428,시금치,,,,,,,,,,,,,,,,,,
2429,유정란/친환경,대파,찌개용두부,,,,,,,,,,,,,,,,
2430,월동무,,,,,,,,,,,,,,,,,,
2431,유정란/친환경,,,,,,,,,,,,,,,,,,
2432,유정란/친환경,당근,월동무,대파,,,,,,,,,,,,,,,
2433,유정란/친환경,,,,,,,,,,,,,,,,,,
2434,유정란/친환경,백미/유,찹쌀백미/유,,,,,,,,,,,,,,,,
2435,콩나물,월동무,팽이버섯,,,,,,,,,,,,,,,,
2436,누룽지,,,,,,,,,,,,,,,,,,
2437,유정란/친환경,,,,,,,,,,,,,,,,,,
2438,양파,콩나물,,,,,,,,,,,,,,,,,
2439,콩나물,팽이버섯,찌개용두부,,,,,,,,,,,,,,,,
2440,유정란/친환경,딸기/,,,,,,,,,,,,,,,,,
2441,시금치,팽이버섯,,,,,,,,,,,,,,,,,
2442,참기름,부추,,,,,,,,,,,,,,,,,
2443,유정란/친환경,양파,유기농저지방우유,당근,,,,,,,,,,,,,,,
2444,두부,완숙토마토,브로컬리,,,,,,,,,,,,,,,,
2445,두부,시금치,어린잎채소,,,,,,,,,,,,,,,,
2446,유정란/친환경,완숙토마토,깐마늘/난지형/유,당근,월동무,,,,,,,,,,,,,,
2447,유정란/친환경,완숙토마토,,,,,,,,,,,,,,,,,
2448,유정란/친환경,참외,팽이버섯,,,,,,,,,,,,,,,,
2449,오이,완숙토마토,,,,,,,,,,,,,,,,,
2450,두부,양파,어린잎채소,,,,,,,,,,,,,,,,
2451,유정란/친환경,오이,백미/유,부추,,,,,,,,,,,,,,,
2452,유정란/친환경,완숙토마토,,,,,,,,,,,,,,,,,
2453,유정란/친환경,콩나물,사과/,완숙토마토,무,브로컬리,유기농저지방우유,당근,,,,,,,,,,,
2454,유정란/친환경,애호박,어린잎채소,유기농저지방우유,가지,,,,,,,,,,,,,,
2455,양파,시금치,완숙토마토,완숙토마토,팽이버섯,부추,,,,,,,,,,,,,
2456,완숙토마토,,,,,,,,,,,,,,,,,,
2457,두부,유정란/친환경,사과/,완숙토마토,유기농저지방우유,당근,,,,,,,,,,,,,
2458,어린잎채소,무,중파,양배추,,,,,,,,,,,,,,,
2459,상추,,,,,,,,,,,,,,,,,,
2460,유정란/친환경,완숙토마토,,,,,,,,,,,,,,,,,
2461,유정란/친환경,유기농저지방우유,찹쌀백미/유,,,,,,,,,,,,,,,,
2462,유정란/친환경,양파,,,,,,,,,,,,,,,,,
2463,두부,유정란/친환경,오이,,,,,,,,,,,,,,,,
2464,유정란/친환경,완숙토마토,,,,,,,,,,,,,,,,,
2465,완숙토마토,유기농저지방우유,,,,,,,,,,,,,,,,,
2466,유정란/친환경,,,,,,,,,,,,,,,,,,
2467,양파,완숙토마토,유기농저지방우유,가지,,,,,,,,,,,,,,,
2468,오이,완숙토마토,유기농저지방우유,,,,,,,,,,,,,,,,
2469,유정란/친환경,유정란/친환경,유기농저지방우유,유기농저지방우유,중파,중파,깻잎,,,,,,,,,,,,
2470,가지,,,,,,,,,,,,,,,,,,
2471,가지,,,,,,,,,,,,,,,,,,
2472,애호박,깻잎,,,,,,,,,,,,,,,,,
2473,유기농저지방우유,,,,,,,,,,,,,,,,,,
2474,깻잎,,,,,,,,,,,,,,,,,,
2475,유정란/친환경,유기농저지방우유,,,,,,,,,,,,,,,,,
2476,완숙토마토,완숙토마토,중파,,,,,,,,,,,,,,,,
2477,유정란/친환경,찌개용두부,가지,,,,,,,,,,,,,,,,
2478,부추,,,,,,,,,,,,,,,,,,
2479,떡국떡,어린잎채소,찌개용두부,가지,사과,,,,,,,,,,,,,,
2480,유정란/친환경,유기농저지방우유,,,,,,,,,,,,,,,,,
2481,유정란/친환경,,,,,,,,,,,,,,,,,,
2482,유정란/친환경,양파,시금치,완숙토마토,,,,,,,,,,,,,,,
2483,두부,콩나물,,,,,,,,,,,,,,,,,
2484,대파,,,,,,,,,,,,,,,,,,
2485,두부,콩나물,,,,,,,,,,,,,,,,,
2486,두부,,,,,,,,,,,,,,,,,,
2487,두부,,,,,,,,,,,,,,,,,,
2488,사과/,누룽지,,,,,,,,,,,,,,,,,
2489,깻잎,,,,,,,,,,,,,,,,,,
2490,두부,양파,,,,,,,,,,,,,,,,,
2491,두부,방울토마토/대추형,참기름,부추,,,,,,,,,,,,,,,
2492,양파,당근,,,,,,,,,,,,,,,,,
2493,콩나물,무,깻잎,,,,,,,,,,,,,,,,
2494,부추,,,,,,,,,,,,,,,,,,
2495,오이,콩나물,,,,,,,,,,,,,,,,,
2496,콩국물,,,,,,,,,,,,,,,,,,
2497,두부,깻잎,,,,,,,,,,,,,,,,,
2498,무,,,,,,,,,,,,,,,,,,
2499,두부,콩나물,,,,,,,,,,,,,,,,,
2500,대파,양배추,,,,,,,,,,,,,,,,,
2501,두부,중파,,,,,,,,,,,,,,,,,
2502,시금치,,,,,,,,,,,,,,,,,,
2503,대파,찌개용두부,,,,,,,,,,,,,,,,,
2504,대파,,,,,,,,,,,,,,,,,,
2505,시금치,얼갈이,,,,,,,,,,,,,,,,,
2506,쌈채소모음,,,,,,,,,,,,,,,,,,
2507,찌개용두부,,,,,,,,,,,,,,,,,,
2508,두부,,,,,,,,,,,,,,,,,,
2509,명태참어묵,중파,,,,,,,,,,,,,,,,,
2510,오이,월동무,월동무,중파,,,,,,,,,,,,,,,
2511,콩국물,유정란/친환경,오이,황토숙주나물,,,,,,,,,,,,,,,
2512,중파,,,,,,,,,,,,,,,,,,
2513,시금치,중파,,,,,,,,,,,,,,,,,
2514,오이,중파,부추,,,,,,,,,,,,,,,,
2515,중파,찌개용두부,,,,,,,,,,,,,,,,,
2516,찌개용두부,,,,,,,,,,,,,,,,,,
2517,찌개용두부,,,,,,,,,,,,,,,,,,
2518,어린잎채소,,,,,,,,,,,,,,,,,,
2519,찌개용두부,,,,,,,,,,,,,,,,,,
2520,황토숙주나물,,,,,,,,,,,,,,,,,,
2521,찌개용두부,,,,,,,,,,,,,,,,,,
2522,찌개용두부,,,,,,,,,,,,,,,,,,
2523,명태참어묵,,,,,,,,,,,,,,,,,,
2524,백미/유,,,,,,,,,,,,,,,,,,
2525,대파,,,,,,,,,,,,,,,,,,
2526,양파,애호박,백미/유,브로컬리,찌개용두부,,,,,,,,,,,,,,
2527,콩나물,백미/유,,,,,,,,,,,,,,,,,
2528,백미/유,찌개용두부,,,,,,,,,,,,,,,,,
2529,찌개용두부,,,,,,,,,,,,,,,,,,
2530,콩나물,,,,,,,,,,,,,,,,,,
2531,중파,,,,,,,,,,,,,,,,,,
2532,연두부,,,,,,,,,,,,,,,,,,
2533,떡국떡,동물복지유정란,사과/,깐마늘/난지형/유,,,,,,,,,,,,,,,
2534,두부,찌개용두부,,,,,,,,,,,,,,,,,
2535,양파,,,,,,,,,,,,,,,,,,
2536,두부,,,,,,,,,,,,,,,,,,
2537,오이,명태참어묵,,,,,,,,,,,,,,,,,
2538,양파,딸기/,참외,부추,,,,,,,,,,,,,,,
2539,애호박,참외,,,,,,,,,,,,,,,,,
2540,오이,사과/,검은콩두유,,,,,,,,,,,,,,,,
2541,오이,,,,,,,,,,,,,,,,,,
2542,두부,,,,,,,,,,,,,,,,,,
2543,상추,깐마늘/난지형/유,깻잎,,,,,,,,,,,,,,,,
2544,양파,오이,사과/,,,,,,,,,,,,,,,,
2545,유기농저지방우유,,,,,,,,,,,,,,,,,,
2546,유정란/친환경,깐마늘/난지형/유,가지,,,,,,,,,,,,,,,,
2547,애호박,사과,,,,,,,,,,,,,,,,,
2548,애호박,가지,,,,,,,,,,,,,,,,,
2549,중파,사과,,,,,,,,,,,,,,,,,
2550,유정란/친환경,오이,백미/유,,,,,,,,,,,,,,,,
2551,부추,,,,,,,,,,,,,,,,,,
2552,백미/유,,,,,,,,,,,,,,,,,,
2553,상추,사과,깻잎,,,,,,,,,,,,,,,,
2554,참기름,사과,,,,,,,,,,,,,,,,,
2555,시금치,,,,,,,,,,,,,,,,,,
2556,두부,시금치,찌개용두부,,,,,,,,,,,,,,,,
2557,당근,얼음식혜,,,,,,,,,,,,,,,,,
2558,유기농우유,,,,,,,,,,,,,,,,,,
2559,두부,,,,,,,,,,,,,,,,,,
2560,콩나물,얼갈이,찌개용두부,,,,,,,,,,,,,,,,
2561,두부,찌개용두부,,,,,,,,,,,,,,,,,
2562,두부,,,,,,,,,,,,,,,,,,
2563,찌개용두부,,,,,,,,,,,,,,,,,,
2564,두부,애호박,유기농우유,,,,,,,,,,,,,,,,
2565,얼음식혜,,,,,,,,,,,,,,,,,,
2566,찌개용두부,,,,,,,,,,,,,,,,,,
2567,콩나물,,,,,,,,,,,,,,,,,,
2568,시금치,,,,,,,,,,,,,,,,,,
2569,동물복지유정란,,,,,,,,,,,,,,,,,,
2570,양파,,,,,,,,,,,,,,,,,,
2571,두부,시금치,양배추,,,,,,,,,,,,,,,,
2572,동물복지유정란,,,,,,,,,,,,,,,,,,
2573,동물복지유정란,동물복지유정란,시금치,,,,,,,,,,,,,,,,
2574,깐마늘/난지형/유,,,,,,,,,,,,,,,,,,
2575,유정란/친환경,당근,,,,,,,,,,,,,,,,,
2576,떡국떡,두부,시금치,월동무,대파,,,,,,,,,,,,,,
2577,유정란/친환경,딸기/,,,,,,,,,,,,,,,,,
2578,월동무,,,,,,,,,,,,,,,,,,
2579,딸기/,,,,,,,,,,,,,,,,,,
2580,유정란/친환경,,,,,,,,,,,,,,,,,,
2581,두부,,,,,,,,,,,,,,,,,,
2582,유정란/친환경,,,,,,,,,,,,,,,,,,
2583,당근,,,,,,,,,,,,,,,,,,
2584,유정란/친환경,,,,,,,,,,,,,,,,,,
2585,유정란/친환경,브로컬리,,,,,,,,,,,,,,,,,
2586,두부,,,,,,,,,,,,,,,,,,
2587,유정란/친환경,,,,,,,,,,,,,,,,,,
2588,상추,깐마늘/난지형/유,두유,,,,,,,,,,,,,,,,
2589,유정란/친환경,,,,,,,,,,,,,,,,,,
2590,무,,,,,,,,,,,,,,,,,,
2591,찌개용두부,,,,,,,,,,,,,,,,,,
2592,두부,,,,,,,,,,,,,,,,,,
2593,두부,동물복지유정란,콩나물,어린잎채소,대파,,,,,,,,,,,,,,
2594,오분도미/유,,,,,,,,,,,,,,,,,,
2595,오분도미/유,,,,,,,,,,,,,,,,,,
2596,백미/유,사과,,,,,,,,,,,,,,,,,
2597,콩나물,,,,,,,,,,,,,,,,,,
2598,양파,콩나물,,,,,,,,,,,,,,,,,
2599,떡국떡,명태참어묵,구운도시락김,구운도시락김,,,,,,,,,,,,,,,
2600,두부,중파,양배추,,,,,,,,,,,,,,,,
2601,연두부,,,,,,,,,,,,,,,,,,
2602,얼음식혜,,,,,,,,,,,,,,,,,,
2603,도토리묵,,,,,,,,,,,,,,,,,,
2604,쌈채소모음,깻잎,,,,,,,,,,,,,,,,,
2605,유기농저지방우유,양배추,,,,,,,,,,,,,,,,,
2606,떡국떡,,,,,,,,,,,,,,,,,,
2607,유정란/친환경,콩나물,시금치,,,,,,,,,,,,,,,,
2608,두부,월동무,대파,,,,,,,,,,,,,,,,
2609,두부,대파,얼갈이,,,,,,,,,,,,,,,,
2610,유정란/친환경,대파,찹쌀백미/유,,,,,,,,,,,,,,,,
2611,월동무,당면,,,,,,,,,,,,,,,,,
2612,대파,,,,,,,,,,,,,,,,,,
2613,양파,콩나물,시금치,월동무,명태참어묵,,,,,,,,,,,,,,
2614,두부,유정란/친환경,시금치,어린잎채소,유기농저지방우유,,,,,,,,,,,,,,
2615,두부,방울토마토/대추형,백미/유,브로컬리,월동무,대파,,,,,,,,,,,,,
2616,유기농저지방우유,,,,,,,,,,,,,,,,,,
2617,동물복지유정란,황토숙주나물,,,,,,,,,,,,,,,,,
2618,두부,대파,,,,,,,,,,,,,,,,,
2619,두부,시금치,대파,,,,,,,,,,,,,,,,
2620,콩나물,어린잎채소,깻잎,당면,,,,,,,,,,,,,,,
2621,떡국떡,,,,,,,,,,,,,,,,,,
2622,두부,유정란/친환경,,,,,,,,,,,,,,,,,
2623,두부,황토숙주나물,,,,,,,,,,,,,,,,,
2624,유정란/친환경,콩나물,,,,,,,,,,,,,,,,,
2625,대파,찹쌀백미/유,,,,,,,,,,,,,,,,,
2626,콩나물,시금치,참기름,브로컬리,당근,,,,,,,,,,,,,,
2627,두부,,,,,,,,,,,,,,,,,,
2628,두부,,,,,,,,,,,,,,,,,,
2629,시금치,월동무,얼갈이,,,,,,,,,,,,,,,,
2630,시금치,대파,,,,,,,,,,,,,,,,,
2631,유정란/친환경,,,,,,,,,,,,,,,,,,
2632,브로컬리,,,,,,,,,,,,,,,,,,
2633,두부,시금치,백미/유,얼갈이,,,,,,,,,,,,,,,
2634,양파,명태참어묵,,,,,,,,,,,,,,,,,
2635,얼갈이,,,,,,,,,,,,,,,,,,
2636,두부,오이,중파,찹쌀백미/유,,,,,,,,,,,,,,,
2637,참외,,,,,,,,,,,,,,,,,,
2638,오이,콩나물,백미/유,부추,,,,,,,,,,,,,,,
2639,양파,오분도미/유,부추,,,,,,,,,,,,,,,,
2640,상추,당근,얼갈이,,,,,,,,,,,,,,,,
2641,부추,,,,,,,,,,,,,,,,,,
2642,유정란/친환경,어린잎채소,완숙토마토,얼갈이,,,,,,,,,,,,,,,
2643,두부,오이,상추,중파,도토리묵,,,,,,,,,,,,,,
2644,양파,시금치,양배추,,,,,,,,,,,,,,,,
2645,유정란/친환경,상추,애호박,얼갈이,,,,,,,,,,,,,,,
2646,가지,부추,,,,,,,,,,,,,,,,,
2647,콩나물,얼갈이,가지,도토리묵,,,,,,,,,,,,,,,
2648,양파,,,,,,,,,,,,,,,,,,
2649,두부,유정란/친환경,시금치,부추,도토리묵,양배추,,,,,,,,,,,,,
2650,오이,사과/,시금치,시금치,얼갈이,중파,깻잎,,,,,,,,,,,,
2651,사과/,애호박,부추,,,,,,,,,,,,,,,,
2652,콩나물,애호박,부추,,,,,,,,,,,,,,,,
2653,두부,오이,사과/,얼갈이,참외,,,,,,,,,,,,,,
2654,얼갈이,중파,,,,,,,,,,,,,,,,,
2655,두부,오이,콩나물,사과/,상추,부추,찹쌀백미/유,당면,,,,,,,,,,,
2656,얼갈이,,,,,,,,,,,,,,,,,,
2657,완숙토마토,무,얼갈이,중파,황토숙주나물,부추,도토리묵,,,,,,,,,,,,
2658,참기름,무,가지,,,,,,,,,,,,,,,,
2659,오분도미/유,애호박,가지,,,,,,,,,,,,,,,,
2660,두부,,,,,,,,,,,,,,,,,,
2661,두부,양파,애호박,중파,가지,,,,,,,,,,,,,,
2662,유정란/친환경,애호박,가지,부추,,,,,,,,,,,,,,,
2663,두부,유정란/친환경,애호박,얼갈이,중파,가지,가지,부추,,,,,,,,,,,
2664,상추,브로컬리,가지,깻잎,도토리묵,,,,,,,,,,,,,,
2665,백미/유,,,,,,,,,,,,,,,,,,
2666,두부,가지,부추,,,,,,,,,,,,,,,,
2667,두부,무,가지,,,,,,,,,,,,,,,,
2668,참기름,사과,찹쌀백미/유,,,,,,,,,,,,,,,,
2669,오이,완숙토마토,사과,도토리묵,,,,,,,,,,,,,,,
2670,두부,사과,,,,,,,,,,,,,,,,,
2671,상추,가지,부추,도토리묵,,,,,,,,,,,,,,,
2672,두부,오이,당근,가지,,,,,,,,,,,,,,,
2673,사과,,,,,,,,,,,,,,,,,,
2674,오이,중파,,,,,,,,,,,,,,,,,
2675,양파,방울토마토/대추형,,,,,,,,,,,,,,,,,
2676,두부,애호박,얼갈이,가지,사과,복숭아,,,,,,,,,,,,,
2677,콩나물,,,,,,,,,,,,,,,,,,
2678,애호박,무,얼갈이,부추,,,,,,,,,,,,,,,
2679,두부,완숙토마토,얼갈이,황토숙주나물,,,,,,,,,,,,,,,
2680,무,황토숙주나물,,,,,,,,,,,,,,,,,
2681,상추,누룽지,사과,,,,,,,,,,,,,,,,
2682,두부,유정란/친환경,얼갈이,부추,,,,,,,,,,,,,,,
2683,두부,,,,,,,,,,,,,,,,,,
2684,콩나물,시금치,,,,,,,,,,,,,,,,,
2685,유정란/친환경,오이,콩나물,,,,,,,,,,,,,,,,
2686,애호박,대파,,,,,,,,,,,,,,,,,
2687,명태참어묵,,,,,,,,,,,,,,,,,,
2688,참기름,얼갈이,,,,,,,,,,,,,,,,,
2689,시금치,,,,,,,,,,,,,,,,,,
2690,유정란/친환경,시금치,황토숙주나물,부추,,,,,,,,,,,,,,,
2691,누룽지,,,,,,,,,,,,,,,,,,
2692,유정란/친환경,콩나물,백미/유,당근,월동무,얼음식혜,양배추,,,,,,,,,,,,
2693,사과/,딸기/,,,,,,,,,,,,,,,,,
2694,유정란/친환경,시금치,황토숙주나물,,,,,,,,,,,,,,,,
2695,두부,콩나물,,,,,,,,,,,,,,,,,
2696,콩나물,,,,,,,,,,,,,,,,,,
2697,콩나물,상추,,,,,,,,,,,,,,,,,
2698,두부,,,,,,,,,,,,,,,,,,
2699,두부,콩나물,사과/,상추,,,,,,,,,,,,,,,
2700,상추,,,,,,,,,,,,,,,,,,
2701,두부,참외,,,,,,,,,,,,,,,,,
2702,어린잎채소,,,,,,,,,,,,,,,,,,
2703,콩나물,,,,,,,,,,,,,,,,,,
2704,콩나물,,,,,,,,,,,,,,,,,,
2705,두부,,,,,,,,,,,,,,,,,,
2706,얼음식혜,,,,,,,,,,,,,,,,,,
