,antecedents,consequents,lift,antecedents,consequents,lift,antecedents,consequents,lift,antecedents,consequents,lift,antecedents,consequents,lift
0,({'유정란/친환경'}),({'두부'}),0.8447590813156651,({'유정란/친환경'}),({'두부'}),0.7765153367433656,({'유정란/친환경'}),({'두부'}),0.7651585281666841,({'유정란/친환경'}),({'두부'}),0.8091603053435114,({'유정란/친환경'}),({'두부'}),0.7377864741779399
35,({'두부'}),({'브로컬리'}),0.8136966824644548,({'두부'}),({'찌개용두부'}),0.4177373570718329,({'두부'}),({'대파'}),0.8592864100616361,({'양파'}),({'당근'}),1.6472907709767473,({'중파'}),({'오이'}),1.845086364661937
34,({'브로컬리'}),({'두부'}),0.8136966824644548,({'찌개용두부'}),({'두부'}),0.4177373570718329,({'대파'}),({'두부'}),0.8592864100616361,({'당근'}),({'양파'}),1.6472907709767477,({'오이'}),({'중파'}),1.8450863646619369
21,({'유정란/친환경'}),({'찌개용두부'}),0.791806842372072,({'양파'}),({'당근'}),1.7382119611450726,({'두부'}),({'동물복지유정란'}),0.8058242551830221,({'두부'}),({'당근'}),0.8076219777668127,({'찌개용두부'}),({'콩나물'}),1.0128990196290604
20,({'찌개용두부'}),({'유정란/친환경'}),0.7918068423720719,({'당근'}),({'양파'}),1.7382119611450728,({'동물복지유정란'}),({'두부'}),0.8058242551830221,({'당근'}),({'두부'}),0.8076219777668127,({'콩나물'}),({'찌개용두부'}),1.0128990196290604
14,({'당근'}),({'유정란/친환경'}),0.7832336683351022,({'동물복지유정란'}),({'두부'}),0.7746267305736109,({'오이'}),({'두부'}),0.7868720255204726,({'콩나물'}),({'찌개용두부'}),1.1778979714483335,({'두부'}),({'양파'}),0.745462503385418
15,({'유정란/친환경'}),({'당근'}),0.7832336683351022,({'두부'}),({'동물복지유정란'}),0.774626730573611,({'두부'}),({'오이'}),0.7868720255204726,({'찌개용두부'}),({'콩나물'}),1.1778979714483335,({'양파'}),({'두부'}),0.745462503385418
4,({'두부'}),({'양파'}),0.7695264764292703,({'콩나물'}),({'유정란/친환경'}),0.7205834860257904,({'콩나물'}),({'유정란/친환경'}),0.7340846111246042,({'콩나물'}),({'유정란/친환경'}),0.824367297772193,({'콩나물'}),({'유정란/친환경'}),0.661475757614719
5,({'양파'}),({'두부'}),0.7695264764292702,({'유정란/친환경'}),({'콩나물'}),0.7205834860257905,({'유정란/친환경'}),({'콩나물'}),0.7340846111246042,({'유정란/친환경'}),({'콩나물'}),0.8243672977721929,({'유정란/친환경'}),({'콩나물'}),0.661475757614719
8,({'당근'}),({'두부'}),0.7613999061652171,({'유정란/친환경'}),({'양파'}),0.7861401432124241,({'찌개용두부'}),({'유정란/친환경'}),0.6996785895732798,({'찌개용두부'}),({'유정란/친환경'}),0.7452314778738841,({'유정란/친환경'}),({'양파'}),0.8424653208114431
