,회원번호,주문일시,전체물품명
0,192509888,2021-09-22,무
1,206370496,2021-01-03,두부
2,206370496,2021-01-04,콩나물$어린잎채소$쥬키니호박
3,206370496,2021-01-09,유정란/친환경$콩나물$어린잎채소
4,206370496,2021-01-23,양파$동물복지유정란$시금치$쥬키니호박
5,206370496,2021-01-25,유정란/친환경
6,206370496,2021-01-29,동물복지유정란$콩나물$찌개용두부
7,206370496,2021-02-07,유정란/친환경$양파
8,206370496,2021-02-21,두부
9,206370496,2021-02-22,양송이버섯
10,206370496,2021-03-06,양파
11,206370496,2021-03-10,유정란/친환경
12,206370496,2021-03-14,닭가슴살
13,206370496,2021-03-16,유정란/친환경
14,206370496,2021-03-22,어린잎채소$닭가슴살
15,206370496,2021-03-26,유정란/친환경
16,206370496,2021-04-16,두부
17,206370496,2021-04-27,당근$닭가슴살
18,206370496,2021-05-03,닭가슴살
19,206370496,2021-05-10,유정란/친환경
20,206370496,2021-05-23,오이$콩나물
21,206370496,2021-06-07,유정란/친환경$양파$콩나물
22,206370496,2021-06-28,유정란/친환경
23,206370496,2021-07-11,유정란/친환경
24,206370496,2021-07-16,유정란/친환경
25,206370496,2021-07-17,당근
26,206370496,2021-07-23,유정란/친환경
27,206370496,2021-07-30,두부
28,206370496,2021-09-20,유정란/친환경
29,206370496,2021-10-11,두부$유정란/친환경$콩나물
30,206370496,2021-10-17,유정란/친환경
31,206370496,2021-10-24,유정란/친환경
32,206370496,2021-10-26,양파
33,215362816,2021-04-20,양파
34,215362816,2021-05-07,상큼한감귤&채소
35,226973952,2021-01-24,하늘땅감자
36,274398464,2021-04-08,감귤즙
37,274398464,2021-07-24,상큼한감귤
38,422694720,2021-01-04,시금치
39,422694720,2021-01-09,콩나물$시금치$대파$찌개용두부$유기농성이시돌목장우유
40,422694720,2021-01-15,양파
41,422694720,2021-01-26,시금치$당근$대파
42,422694720,2021-02-09,어린잎채소
43,423587456,2021-01-22,당근
44,423587456,2021-02-25,대파
45,423587456,2021-04-01,동물복지유정란$당근$하늘바다새우$과일푸딩$상큼한포도
46,423587456,2021-05-28,찌개용두부
47,423587456,2021-06-11,유정란/친환경
48,423587456,2021-07-02,유정란/친환경$애호박
49,423587456,2021-10-21,애호박$찌개용두부
50,424521024,2021-09-20,두부
51,424521024,2021-09-23,콩나물$백미/유
52,424521024,2021-10-12,두부
53,424521024,2021-10-24,두부
54,429806912,2021-01-26,연두부
55,429806912,2021-02-07,연두부
56,429806912,2021-03-18,연두부$청경채
57,429806912,2021-06-18,오이$연두부$애호박$당근
58,446416256,2021-10-20,유기농우유
59,446603712,2021-01-08,딸기잼
60,449736640,2021-02-28,콩나물
61,518655488,2021-04-23,콩나물$사과/
62,518655488,2021-09-03,오이$콩나물
63,525556096,2021-04-10,현미유$검은콩두유$구운도시락김
64,525556096,2021-05-30,시금치
65,525556096,2021-06-01,유정란/친환경
66,525556096,2021-06-12,콩나물
67,525556096,2021-06-26,콩나물$현미유
68,532313792,2021-01-05,유정란/친환경$양파$우유$양송이버섯
69,532313792,2021-02-21,당근
70,532313792,2021-03-31,과일푸딩
71,532313792,2021-04-10,백미/유
72,532313792,2021-10-07,사과당근즙
73,546564160,2021-02-20,청경채
74,546564160,2021-03-10,청경채
75,546564160,2021-05-19,청경채
76,547273152,2021-02-07,유정란/친환경$브로컬리
77,547273152,2021-02-13,현미유
78,547273152,2021-02-25,유정란/친환경$얼음식혜
79,547273152,2021-03-08,유기농우유
80,547273152,2021-04-11,유정란/친환경
81,547273152,2021-08-08,중파
82,547273152,2021-08-23,찌개용두부
83,547273152,2021-08-31,가지
84,547273152,2021-09-17,백미/유
85,547273152,2021-10-16,명태참어묵
86,551621760,2021-06-10,사과/
87,554236864,2021-01-02,사과당근즙
88,554236864,2021-04-09,유정란/친환경
89,554236864,2021-04-23,유기농성이시돌목장우유
90,554236864,2021-06-11,오이$당근
91,554236864,2021-06-19,유정란/친환경
92,554236864,2021-06-28,쥬키니호박
93,554236864,2021-07-05,무$찌개용두부
94,554236864,2021-07-13,양파$브로컬리$쥬키니호박
95,554236864,2021-08-20,두부
96,554236864,2021-09-03,오이$단무지
97,558769216,2021-02-20,양파$콩나물$당근
98,558769216,2021-03-24,콩나물
99,558769216,2021-03-31,두부$브로컬리$청경채$상큼한감귤
100,558769216,2021-04-07,양파$콩나물$청경채
101,558769216,2021-04-14,청경채$양송이버섯
102,558769216,2021-04-21,두부$두부$어린잎채소
103,558769216,2021-04-29,두부$양파$당근$상큼한감귤&한라봉
104,558769216,2021-05-13,당근
105,558769216,2021-05-22,양파$콩나물$당근$하늘바다새우
106,558769216,2021-06-03,브로컬리
107,558769216,2021-06-09,당근
108,558769216,2021-06-29,당근
109,558769216,2021-07-07,팽이버섯
110,558769216,2021-07-19,콩나물
111,558769216,2021-07-22,두부
112,558769216,2021-07-28,오이
113,558769216,2021-08-01,오이$중파
114,558769216,2021-08-11,애호박$당근
115,558769216,2021-09-08,우유
116,558769216,2021-09-15,양송이버섯
117,558769216,2021-09-30,두부$콩나물$팽이버섯$청경채$양송이버섯
118,558769216,2021-10-06,두부
119,558769216,2021-10-09,두부$양송이버섯
120,558769216,2021-10-14,청경채
121,558769216,2021-10-20,양송이버섯
122,558769216,2021-10-27,중파
123,559971904,2021-02-20,쥬키니호박
124,559971904,2021-02-27,동물복지유정란
125,559971904,2021-03-01,시금치
126,559971904,2021-03-16,두부$양배추
127,559971904,2021-03-20,얼음식혜
128,559971904,2021-03-25,콩나물
129,559971904,2021-03-29,브로컬리
130,559971904,2021-04-17,두부$두부$중파
131,559971904,2021-04-22,양파
132,559971904,2021-05-09,두부$콩나물$브로컬리$중파$쥬키니호박
133,559971904,2021-05-28,가지
134,559971904,2021-06-08,유정란/친환경
135,559971904,2021-07-05,7곡딸기롤과자
136,559971904,2021-07-10,두부
137,559971904,2021-08-02,얼음식혜
138,559971904,2021-08-11,가지
139,559971904,2021-09-07,두부
