,0,1,2,3,4,5,6,7,8,9,10,11
131,유정란/친환경,유정란/친환경,사과/,시금치,브로컬리,유기농저지방우유,유기농저지방우유,깐마늘/난지형/유,,,,
132,유기농저지방우유,유기농우유,,,,,,,,,,
133,두부,완숙토마토,,,,,,,,,,
134,얼음식혜,,,,,,,,,,,
135,유정란/친환경,콩나물,구운도시락김,,,,,,,,,
136,유기농저지방우유,중파,,,,,,,,,,
137,딸기잼,오이,콩나물,얼음식혜,,,,,,,,
138,브로컬리,명태참어묵,,,,,,,,,,
139,유정란/친환경,유기농저지방우유,,,,,,,,,,
140,오이,사과/,완숙토마토,브로컬리,유기농저지방우유,,,,,,,
141,유정란/친환경,유기농저지방우유,,,,,,,,,,
142,두부,유정란/친환경,구운도시락김,양배추,,,,,,,,
143,브로컬리,유기농저지방우유,,,,,,,,,,
144,두부,유기농저지방우유,,,,,,,,,,
145,유정란/친환경,양파,콩나물,,,,,,,,,
146,오이,브로컬리,유기농저지방우유,,,,,,,,,
147,유기농저지방우유,,,,,,,,,,,
148,유기농저지방우유,얼음식혜,양배추,,,,,,,,,
149,구운도시락김,,,,,,,,,,,
150,유기농성이시돌목장우유,도토리묵,,,,,,,,,,
151,유정란/친환경,오이,,,,,,,,,,
152,딸기잼,깐마늘/난지형/유,상큼한감귤&한라봉,,,,,,,,,
153,오이,브로컬리,상큼한감귤&한라봉,,,,,,,,,
154,유기농저지방우유,,,,,,,,,,,
155,떡국떡,유정란/친환경,오이,가지,구운도시락김,구운김밥김,느타리버섯,,,,,
156,오이,브로컬리,,,,,,,,,,
157,유정란/친환경,백미/유,유기농저지방우유,,,,,,,,,
158,방울토마토/대추형,유기농저지방우유,상큼한감귤&한라봉,,,,,,,,,
159,완숙토마토,상큼한감귤&한라봉,,,,,,,,,,
160,애호박,유기농저지방우유,깐마늘/난지형/유,당근,,,,,,,,
161,콩국물,상추,브로컬리,,,,,,,,,
162,유정란/친환경,양파,,,,,,,,,,
163,브로컬리,,,,,,,,,,,
164,두부,시금치,완숙토마토,현미유,구운도시락김,,,,,,,
165,콩국물,,,,,,,,,,,
166,브로컬리,유기농성이시돌목장우유,,,,,,,,,,
167,상큼한감귤&한라봉,,,,,,,,,,,
168,유정란/친환경,오이,깐마늘/난지형/유,,,,,,,,,
169,콩나물,브로컬리,상큼한감귤&한라봉,,,,,,,,,
170,떡국떡,유정란/친환경,오이,방울토마토/대추형,유기농저지방우유,얼음식혜,단무지,구운김밥김,,,,
171,유정란/친환경,도토리묵,,,,,,,,,,
172,두부,방울토마토/대추형,,,,,,,,,,
173,오이,방울토마토/대추형,중파,,,,,,,,,
174,동물복지유정란,콩나물,브로컬리,가지,구운도시락김,,,,,,,
175,오이,,,,,,,,,,,
176,두부,유정란/친환경,콩나물,,,,,,,,,
177,딸기잼,당근,상큼한감귤&한라봉,무쌈,,,,,,,,
178,방울토마토/대추형,,,,,,,,,,,
179,유정란/친환경,유기농저지방우유,,,,,,,,,,
180,오이,깐마늘/난지형/유,얼음식혜,,,,,,,,,
181,애호박,,,,,,,,,,,
182,백미/유,유기농저지방우유,얼음식혜,,,,,,,,,
183,콩나물,,,,,,,,,,,
184,얼음식혜,,,,,,,,,,,
185,유기농저지방우유,,,,,,,,,,,
186,오이,단무지,,,,,,,,,,
187,유정란/친환경,상큼한감귤&한라봉,,,,,,,,,,
188,두부,오이,깐마늘/난지형/유,상큼한감귤&한라봉,,,,,,,,
189,백미/유,유기농저지방우유,,,,,,,,,,
190,유기농저지방우유,구운전장김,,,,,,,,,,
191,상큼한감귤&한라봉,느타리버섯,,,,,,,,,,
192,팽이버섯,,,,,,,,,,,
193,두부,유정란/친환경,유기농저지방우유,,,,,,,,,
194,유기농저지방우유,,,,,,,,,,,
195,유기농우유,,,,,,,,,,,
196,동물복지유정란,콩나물,얼음식혜,양배추,,,,,,,,
197,유정란/친환경,유기농저지방우유,,,,,,,,,,
198,얼음식혜,,,,,,,,,,,
199,양파,오이,애호박,유기농저지방우유,단무지,구운김밥김,,,,,,
200,두부,유정란/친환경,오이,상추,구운도시락김,,,,,,,
201,떡국떡,유정란/친환경,콩나물,상큼한감귤&한라봉,,,,,,,,
202,두부,,,,,,,,,,,
203,사골곰국,콩나물,,,,,,,,,,
