,회원번호,주문일시,전체물품명
145,38918464,2021-10-10,오이
146,38918464,2021-10-11,애호박
147,38918464,2021-10-16,얼갈이
148,38918464,2021-10-19,두부$어린잎채소
149,38918464,2021-10-24,중파
150,38918464,2021-10-25,중파
151,38918464,2021-10-26,양송이버섯
152,38918464,2021-10-30,참기름
153,38955584,2021-01-30,참기름
154,38955584,2021-06-04,유정란/친환경$양송이버섯
155,38955584,2021-07-12,유정란/친환경$상추$유기농저지방우유$쌈채소모음
156,38955584,2021-08-29,두부$유정란/친환경$가지$양송이버섯
157,38955584,2021-09-14,두부$동물복지유정란
158,38955584,2021-10-15,두부$유정란/친환경
159,39053952,2021-01-04,유정란/친환경
160,39053952,2021-02-12,두부$누룽지$누룽지$명태참어묵$당면
161,39053952,2021-03-24,당근$명태참어묵$당면
162,39053952,2021-04-20,동물복지유정란
163,39053952,2021-04-30,두부$콩나물$명태참어묵$찌개용두부
164,39053952,2021-05-24,두부$명태참어묵
165,39053952,2021-07-15,유정란/친환경$명태참어묵$찌개용두부$가지
166,39053952,2021-07-27,두부$동물복지유정란$명태참어묵
167,39053952,2021-08-15,콩국물$두부$유정란/친환경$누룽지$명태참어묵$당면
168,39053952,2021-08-22,두부$유정란/친환경
169,39053952,2021-08-30,오이$찌개용두부
170,39053952,2021-09-12,누룽지$누룽지
171,39053952,2021-09-21,유정란/친환경$콩나물
172,39053952,2021-10-03,오이$누룽지$찌개용두부
173,39053952,2021-10-10,두부$유정란/친환경$오이$명태참어묵
174,39053952,2021-10-23,유정란/친환경$콩나물$당면
175,41600384,2021-01-22,당근$대파
176,41600384,2021-02-13,대파$당면
177,41600384,2021-02-14,월동무$양송이버섯
178,41600384,2021-02-23,월동무
179,41600384,2021-02-24,두부$월동무
180,41600384,2021-03-06,백미/유$대파
181,41600384,2021-03-28,대파$감자라면
182,41600384,2021-06-02,양파$브로컬리
183,41600384,2021-06-21,양파$백미/유
184,41600384,2021-06-27,양파$얼갈이
185,41600384,2021-07-11,두부$무
186,41600384,2021-07-26,유기농저지방우유
187,41600384,2021-08-13,백미/유$무
188,41600384,2021-08-22,가지
189,41600384,2021-08-29,당근
190,41600384,2021-09-29,당면
191,41600384,2021-10-26,얼갈이
192,41739584,2021-06-04,유기농우유
193,42955264,2021-04-01,참기름$당근
194,42955264,2021-04-12,브로컬리
195,42955264,2021-06-01,백미/유
196,42955264,2021-07-07,무$명태참어묵$찹쌀백미/유$양송이버섯
197,42955264,2021-08-13,백미/유$중파
