,0,1,2,3,4,5,6,7,8,9,10,11,12,13
5257,명태참어묵,,,,,,,,,,,,,
5258,두부,,,,,,,,,,,,,
5259,동물복지유정란,,,,,,,,,,,,,
5260,콩나물,,,,,,,,,,,,,
5261,양파,백미/유,,,,,,,,,,,,
5262,유정란/친환경,백미/유,,,,,,,,,,,,
5263,유정란/친환경,동물복지유정란,,,,,,,,,,,,
5264,유기농저지방우유,찌개용두부,,,,,,,,,,,,
5265,백미/유,,,,,,,,,,,,,
5266,두부,,,,,,,,,,,,,
5267,플레인요구르트,,,,,,,,,,,,,
5268,월동무,,,,,,,,,,,,,
5269,대파,,,,,,,,,,,,,
5270,참기름,,,,,,,,,,,,,
5271,브로컬리,유기농우유,양배추,,,,,,,,,,,
5272,동물복지유정란,백미/유,,,,,,,,,,,,
5273,양파,콩나물,대파,,,,,,,,,,,
5274,오이,부추,,,,,,,,,,,,
5275,유정란/친환경,브로컬리,,,,,,,,,,,,
5276,양파,,,,,,,,,,,,,
5277,콩나물,중파,,,,,,,,,,,,
5278,사과,,,,,,,,,,,,,
5279,찹쌀백미/유,찹쌀백미/유,,,,,,,,,,,,
5280,콩국물,백미/유,,,,,,,,,,,,
5281,유정란/친환경,,,,,,,,,,,,,
5282,유정란/친환경,,,,,,,,,,,,,
5283,쌈채소모음,,,,,,,,,,,,,
5284,찌개용두부,,,,,,,,,,,,,
5285,콩나물,,,,,,,,,,,,,
5286,콩나물,,,,,,,,,,,,,
5287,유정란/친환경,콩나물,당근,구운도시락김,,,,,,,,,,
5288,시금치,황토숙주나물,양송이버섯,,,,,,,,,,,
5289,두부,유기농저지방우유,,,,,,,,,,,,
5290,백미/유,찹쌀백미/유,,,,,,,,,,,,
5291,당근,,,,,,,,,,,,,
5292,떡국떡,당근,팽이버섯,,,,,,,,,,,
5293,콩나물,백미/유,,,,,,,,,,,,
5294,대파,,,,,,,,,,,,,
5295,콩나물,양송이버섯,,,,,,,,,,,,
5296,콩나물,당근,중파,,,,,,,,,,,
5297,오이,백미/유,참기름,유기농우유,,,,,,,,,,
5298,오이,완숙토마토,도토리묵,,,,,,,,,,,
5299,참기름,무,,,,,,,,,,,,
5300,양파,오이,콩나물,완숙토마토,깐마늘/난지형/유,가지,,,,,,,,
5301,백미/유,,,,,,,,,,,,,
5302,유정란/친환경,애호박,유기농저지방우유,중파,,,,,,,,,,
5303,유정란/친환경,어린잎채소,백미/유,,,,,,,,,,,
5304,콩나물,무,중파,,,,,,,,,,,
5305,당근,,,,,,,,,,,,,
5306,유정란/친환경,백미/유,팽이버섯,양배추,,,,,,,,,,
5307,브로컬리,중파,,,,,,,,,,,,
5308,콩나물,백미/유,부추,깻잎,,,,,,,,,,
5309,도토리묵,,,,,,,,,,,,,
5310,두부,양송이버섯,,,,,,,,,,,,
5311,양배추,,,,,,,,,,,,,
5312,유기농저지방우유,,,,,,,,,,,,,
5313,유정란/친환경,양파,,,,,,,,,,,,
5314,유기농우유,,,,,,,,,,,,,
5315,동물복지유정란,오분도미/유,,,,,,,,,,,,
5316,양파,,,,,,,,,,,,,
5317,사과/,시금치,당근,월동무,,,,,,,,,,
5318,찌개용두부,양배추,,,,,,,,,,,,
5319,찌개용두부,,,,,,,,,,,,,
5320,사과/,월동무,,,,,,,,,,,,
5321,양파,당근,,,,,,,,,,,,
5322,시금치,,,,,,,,,,,,,
5323,시금치,백미/유,당근,,,,,,,,,,,
5324,대파,,,,,,,,,,,,,
5325,동물복지유정란,사과/,,,,,,,,,,,,
5326,시금치,,,,,,,,,,,,,
5327,참기름,,,,,,,,,,,,,
5328,찌개용두부,,,,,,,,,,,,,
5329,동물복지유정란,시금치,,,,,,,,,,,,
5330,두부,,,,,,,,,,,,,
5331,양파,깐마늘/난지형/유,당근,당근,대파,,,,,,,,,
5332,백미/유,,,,,,,,,,,,,
5333,오이,,,,,,,,,,,,,
5334,누룽지,,,,,,,,,,,,,
5335,양파,동물복지유정란,당근,월동무,찌개용두부,양배추,,,,,,,,
5336,사과/,시금치,당근,,,,,,,,,,,
5337,두부,,,,,,,,,,,,,
5338,당근,찌개용두부,양배추,,,,,,,,,,,
5339,두부,,,,,,,,,,,,,
5340,시금치,,,,,,,,,,,,,
5341,두부,동물복지유정란,,,,,,,,,,,,
5342,양파,당근,중파,,,,,,,,,,,
5343,깐마늘/난지형/유,,,,,,,,,,,,,
5344,동물복지유정란,,,,,,,,,,,,,
5345,시금치,당근,,,,,,,,,,,,
5346,동물복지유정란,시금치,당근,,,,,,,,,,,
5347,두부,,,,,,,,,,,,,
5348,사과/,,,,,,,,,,,,,
5349,찌개용두부,,,,,,,,,,,,,
5350,양파,무,양배추,,,,,,,,,,,
5351,시금치,당근,양배추,,,,,,,,,,,
5352,두부,,,,,,,,,,,,,
5353,양파,참기름,당근,,,,,,,,,,,
5354,두부,당근,,,,,,,,,,,,
5355,두부,유정란/친환경,양파,무,당근,,,,,,,,,
5356,두부,깐마늘/난지형/유,,,,,,,,,,,,
5357,양파,무,당근,찹쌀백미/유,양배추,,,,,,,,,
5358,찹쌀백미/유,,,,,,,,,,,,,
5359,찌개용두부,,,,,,,,,,,,,
5360,백미/유,,,,,,,,,,,,,
5361,명태참어묵,,,,,,,,,,,,,
5362,두부,명태참어묵,,,,,,,,,,,,
5363,오이,,,,,,,,,,,,,
5364,유정란/친환경,무,당근,유기농우유,,,,,,,,,,
5365,완숙토마토,무,당근,,,,,,,,,,,
5366,완숙토마토,,,,,,,,,,,,,
5367,유정란/친환경,오이,명태참어묵,,,,,,,,,,,
5368,두부,유기농우유,,,,,,,,,,,,
5369,완숙토마토,,,,,,,,,,,,,
5370,완숙토마토,,,,,,,,,,,,,
5371,유정란/친환경,무,유기농우유,,,,,,,,,,,
5372,유기농우유,,,,,,,,,,,,,
5373,유정란/친환경,가지,,,,,,,,,,,,
5374,완숙토마토,중파,,,,,,,,,,,,
5375,두부,무,중파,,,,,,,,,,,
5376,오이,가지,,,,,,,,,,,,
5377,유기농우유,,,,,,,,,,,,,
5378,두부,,,,,,,,,,,,,
5379,유기농우유,,,,,,,,,,,,,
5380,유기농우유,얼갈이,가지,,,,,,,,,,,
5381,유기농우유,,,,,,,,,,,,,
5382,두부,유기농우유,,,,,,,,,,,,
5383,두부,유기농우유,,,,,,,,,,,,
5384,브로컬리,팽이버섯,,,,,,,,,,,,
5385,유기농우유,,,,,,,,,,,,,
5386,유기농우유,,,,,,,,,,,,,
5387,유기농우유,,,,,,,,,,,,,
5388,유정란/친환경,팽이버섯,,,,,,,,,,,,
5389,동물복지유정란,,,,,,,,,,,,,
5390,유정란/친환경,,,,,,,,,,,,,
5391,유정란/친환경,시금치,대파,팽이버섯,,,,,,,,,,
5392,양파,월동무,,,,,,,,,,,,
5393,양파,,,,,,,,,,,,,
5394,콩나물,연두부,,,,,,,,,,,,
5395,양파,,,,,,,,,,,,,
5396,깐마늘/난지형/유,부추,,,,,,,,,,,,
5397,당근,얼갈이,,,,,,,,,,,,
5398,유정란/친환경,,,,,,,,,,,,,
5399,양파,오이,오이,방울토마토/대추형,방울토마토/대추형,당근,,,,,,,,
5400,콩나물,가지,,,,,,,,,,,,
5401,가지,,,,,,,,,,,,,
5402,콩나물,,,,,,,,,,,,,
5403,무,,,,,,,,,,,,,
5404,당근,,,,,,,,,,,,,
5405,유정란/친환경,방울토마토/대추형,,,,,,,,,,,,
5406,완숙토마토,,,,,,,,,,,,,
5407,부추,깻잎,,,,,,,,,,,,
5408,완숙토마토,,,,,,,,,,,,,
5409,사과,,,,,,,,,,,,,
5410,방울토마토/대추형,,,,,,,,,,,,,
5411,팽이버섯,,,,,,,,,,,,,
5412,오이,방울토마토/대추형,,,,,,,,,,,,
5413,사과,,,,,,,,,,,,,
5414,당근,깻잎,,,,,,,,,,,,
5415,양파,당근,,,,,,,,,,,,
5416,애호박,당근,깻잎,,,,,,,,,,,
5417,애호박,부추,사과,깻잎,,,,,,,,,,
5418,애호박,,,,,,,,,,,,,
5419,완숙토마토,깻잎,,,,,,,,,,,,
5420,당근,,,,,,,,,,,,,
5421,양파,,,,,,,,,,,,,
5422,방울토마토/대추형,,,,,,,,,,,,,
5423,오이,,,,,,,,,,,,,
5424,두부,유기농우유,,,,,,,,,,,,
5425,유정란/친환경,유정란/친환경,,,,,,,,,,,,
5426,동물복지유정란,가지,,,,,,,,,,,,
5427,두부,유기농우유,양송이버섯,,,,,,,,,,,
5428,당근,,,,,,,,,,,,,
5429,유기농우유,,,,,,,,,,,,,
5430,두부,유정란/친환경,양파,,,,,,,,,,,
5431,두부,,,,,,,,,,,,,
5432,두부,시금치,당근,황토숙주나물,,,,,,,,,,
5433,두부,대파,,,,,,,,,,,,
5434,양파,콩나물,당근,,,,,,,,,,,
5435,떡국떡,두부,,,,,,,,,,,,
5436,두부,당근,황토숙주나물,,,,,,,,,,,
5437,두부,,,,,,,,,,,,,
5438,쌈채소모음,,,,,,,,,,,,,
5439,당근,,,,,,,,,,,,,
5440,두부,월동무,,,,,,,,,,,,
5441,콩나물,상추,브로컬리,,,,,,,,,,,
5442,콩나물,브로컬리,,,,,,,,,,,,
5443,두부,,,,,,,,,,,,,
5444,유정란/친환경,,,,,,,,,,,,,
5445,상추,무,당근,중파,,,,,,,,,,
5446,유정란/친환경,황토숙주나물,부추,,,,,,,,,,,
5447,두부,애호박,당근,,,,,,,,,,,
5448,두부,도토리묵,,,,,,,,,,,,
5449,콩나물,완숙토마토,당근,중파,,,,,,,,,,
5450,콩나물,당근,,,,,,,,,,,,
5451,상추,양배추,,,,,,,,,,,,
5452,상추,황토숙주나물,가지,,,,,,,,,,,
5453,콩나물,상추,,,,,,,,,,,,
5454,두부,콩나물,가지,양배추,,,,,,,,,,
5455,가지,부추,,,,,,,,,,,,
5456,완숙토마토,쌈채소모음,가지,,,,,,,,,,,
5457,쌈채소모음,사과,,,,,,,,,,,,
5458,중파,깻잎,,,,,,,,,,,,
5459,오이,명태참어묵,팽이버섯,,,,,,,,,,,
5460,떡국떡,,,,,,,,,,,,,
5461,얼음식혜,,,,,,,,,,,,,
5462,백미/유,,,,,,,,,,,,,
5463,얼음식혜,,,,,,,,,,,,,
5464,얼음식혜,,,,,,,,,,,,,
5465,얼음식혜,,,,,,,,,,,,,
5466,얼음식혜,,,,,,,,,,,,,
5467,얼음식혜,,,,,,,,,,,,,
5468,얼음식혜,,,,,,,,,,,,,
5469,얼음식혜,,,,,,,,,,,,,
5470,양파,무,얼음식혜,,,,,,,,,,,
5471,무,,,,,,,,,,,,,
5472,얼음식혜,,,,,,,,,,,,,
5473,얼음식혜,,,,,,,,,,,,,
5474,얼음식혜,얼음식혜,,,,,,,,,,,,
5475,시금치,연두부,양배추,,,,,,,,,,,
5476,콩나물,무,,,,,,,,,,,,
5477,깐마늘/난지형/유,,,,,,,,,,,,,
5478,유정란/친환경,브로컬리,대파,,,,,,,,,,,
5479,유정란/친환경,,,,,,,,,,,,,
5480,대파,,,,,,,,,,,,,
5481,유정란/친환경,양파,대파,,,,,,,,,,,
5482,유정란/친환경,,,,,,,,,,,,,
5483,유정란/친환경,,,,,,,,,,,,,
5484,찌개용두부,당면,,,,,,,,,,,,
5485,두부,콩나물,,,,,,,,,,,,
5486,두부,,,,,,,,,,,,,
5487,두부,유정란/친환경,,,,,,,,,,,,
5488,오이,콩나물,,,,,,,,,,,,
5489,중파,,,,,,,,,,,,,
5490,백미/유,도토리묵,닭가슴살,,,,,,,,,,,
5491,두부,콩나물,찌개용두부,,,,,,,,,,,
5492,두부,오이,콩나물,시금치,당근,찌개용두부,,,,,,,,
5493,콩나물,찌개용두부,,,,,,,,,,,,
5494,두부,,,,,,,,,,,,,
5495,유정란/친환경,,,,,,,,,,,,,
5496,콩나물,황토숙주나물,,,,,,,,,,,,
5497,두부,콩나물,쌈채소모음,부추,,,,,,,,,,
5498,당근,,,,,,,,,,,,,
5499,당근,,,,,,,,,,,,,
5500,찌개용두부,,,,,,,,,,,,,
5501,두부,대파,양배추,,,,,,,,,,,
5502,오이,,,,,,,,,,,,,
5503,애호박,,,,,,,,,,,,,
5504,상추,,,,,,,,,,,,,
5505,부추,,,,,,,,,,,,,
5506,깻잎,,,,,,,,,,,,,
5507,두부,양파,,,,,,,,,,,,
5508,대파,,,,,,,,,,,,,
5509,두부,두부,동물복지유정란,,,,,,,,,,,
5510,두부,,,,,,,,,,,,,
5511,두부,동물복지유정란,,,,,,,,,,,,
5512,동물복지유정란,동물복지유정란,콩나물,대파,양배추,,,,,,,,,
5513,양파,,,,,,,,,,,,,
5514,두부,콩나물,대파,,,,,,,,,,,
5515,떡국떡,동물복지유정란,브로컬리,양배추,,,,,,,,,,
5516,두부,,,,,,,,,,,,,
5517,두부,양파,동물복지유정란,양배추,,,,,,,,,,
5518,동물복지유정란,동물복지유정란,,,,,,,,,,,,
5519,두부,브로컬리,,,,,,,,,,,,
5520,상추,,,,,,,,,,,,,
5521,두부,유정란/친환경,,,,,,,,,,,,
5522,두부,,,,,,,,,,,,,
5523,동물복지유정란,시금치,당근,대파,,,,,,,,,,
5524,동물복지유정란,동물복지유정란,당근,,,,,,,,,,,
5525,콩나물,,,,,,,,,,,,,
5526,두부,상추,브로컬리,월동무,,,,,,,,,,
5527,상추,중파,,,,,,,,,,,,
5528,유정란/친환경,동물복지유정란,,,,,,,,,,,,
5529,유정란/친환경,,,,,,,,,,,,,
5530,동물복지유정란,,,,,,,,,,,,,
5531,두부,유정란/친환경,브로컬리,,,,,,,,,,,
5532,두부,동물복지유정란,,,,,,,,,,,,
5533,동물복지유정란,콩나물,,,,,,,,,,,,
5534,두부,,,,,,,,,,,,,
5535,두부,두부,동물복지유정란,,,,,,,,,,,
5536,유정란/친환경,,,,,,,,,,,,,
5537,콩나물,중파,,,,,,,,,,,,
5538,두부,,,,,,,,,,,,,
5539,두부,,,,,,,,,,,,,
5540,무,브로컬리,,,,,,,,,,,,
5541,방울토마토/대추형,,,,,,,,,,,,,
5542,양파,오이,시금치,황토숙주나물,,,,,,,,,,
5543,대파,,,,,,,,,,,,,
5544,콩나물,,,,,,,,,,,,,
5545,두부,완숙토마토,,,,,,,,,,,,
5546,당근,,,,,,,,,,,,,
5547,유정란/친환경,양송이버섯,,,,,,,,,,,,
5548,동물복지유정란,찹쌀백미/유,,,,,,,,,,,,
5549,두부,상추,백미/유,,,,,,,,,,,
5550,두부,동물복지유정란,깐마늘/난지형/유,양배추,,,,,,,,,,
5551,유정란/친환경,양파,시금치,,,,,,,,,,,
5552,브로컬리,,,,,,,,,,,,,
5553,동물복지유정란,,,,,,,,,,,,,
5554,양파,동물복지유정란,브로컬리,,,,,,,,,,,
5555,브로컬리,대파,,,,,,,,,,,,
5556,양파,,,,,,,,,,,,,
5557,콩나물,브로컬리,깻잎,,,,,,,,,,,
5558,사과/,,,,,,,,,,,,,
5559,어린잎채소,,,,,,,,,,,,,
5560,유정란/친환경,,,,,,,,,,,,,
5561,유정란/친환경,콩나물,깻잎,,,,,,,,,,,
5562,오이,사과/,브로컬리,대파,,,,,,,,,,
5563,두부,당근,팽이버섯,,,,,,,,,,,
5564,완숙토마토,황토숙주나물,,,,,,,,,,,,
5565,양파,깻잎,,,,,,,,,,,,
5566,오이,,,,,,,,,,,,,
5567,찌개용두부,,,,,,,,,,,,,
5568,유정란/친환경,,,,,,,,,,,,,
5569,오분도미/유,완숙토마토,깐마늘/난지형/유,월동무,,,,,,,,,,
5570,두부,완숙토마토,가지,,,,,,,,,,,
5571,오이,,,,,,,,,,,,,
5572,연두부,완숙토마토,,,,,,,,,,,,
5573,중파,,,,,,,,,,,,,
5574,완숙토마토,부추,,,,,,,,,,,,
5575,두부,깐마늘/난지형/유,,,,,,,,,,,,
5576,완숙토마토,,,,,,,,,,,,,
5577,유정란/친환경,양파,중파,깻잎,,,,,,,,,,
5578,완숙토마토,찌개용두부,,,,,,,,,,,,
5579,완숙토마토,백미/유,브로컬리,,,,,,,,,,,
5580,두부,,,,,,,,,,,,,
5581,오이,,,,,,,,,,,,,
5582,완숙토마토,브로컬리,,,,,,,,,,,,
5583,완숙토마토,,,,,,,,,,,,,
5584,완숙토마토,팽이버섯,,,,,,,,,,,,
5585,당근,찹쌀백미/유,,,,,,,,,,,,
5586,오이,,,,,,,,,,,,,
5587,유정란/친환경,오이,애호박,찹쌀백미/유,,,,,,,,,,
5588,두부,유정란/친환경,,,,,,,,,,,,
5589,완숙토마토,당근,,,,,,,,,,,,
5590,완숙토마토,,,,,,,,,,,,,
5591,완숙토마토,,,,,,,,,,,,,
5592,어린잎채소,완숙토마토,무,대파,,,,,,,,,,
5593,애호박,브로컬리,깻잎,,,,,,,,,,,
5594,오분도미/유,가지,찹쌀백미/유,,,,,,,,,,,
5595,완숙토마토,,,,,,,,,,,,,
5596,완숙토마토,,,,,,,,,,,,,
5597,백미/유,,,,,,,,,,,,,
5598,유정란/친환경,,,,,,,,,,,,,
5599,깻잎,,,,,,,,,,,,,
5600,완숙토마토,,,,,,,,,,,,,
5601,완숙토마토,,,,,,,,,,,,,
5602,완숙토마토,,,,,,,,,,,,,
5603,양파,부추,,,,,,,,,,,,
5604,두부,당근,,,,,,,,,,,,
5605,완숙토마토,,,,,,,,,,,,,
5606,두부,유정란/친환경,누룽지,,,,,,,,,,,
5607,유정란/친환경,오이,완숙토마토,,,,,,,,,,,
5608,두부,완숙토마토,,,,,,,,,,,,
5609,두부,누룽지,가지,사과,,,,,,,,,,
5610,두부,누룽지,,,,,,,,,,,,
5611,두부,완숙토마토,,,,,,,,,,,,
5612,가지,,,,,,,,,,,,,
5613,유정란/친환경,,,,,,,,,,,,,
5614,완숙토마토,,,,,,,,,,,,,
5615,사과,,,,,,,,,,,,,
5616,두부,,,,,,,,,,,,,
5617,두부,중파,,,,,,,,,,,,
5618,양배추,,,,,,,,,,,,,
5619,두부,양파,가지,,,,,,,,,,,
5620,오분도미/유,,,,,,,,,,,,,
5621,시금치,,,,,,,,,,,,,
5622,완숙토마토,,,,,,,,,,,,,
5623,콩나물,,,,,,,,,,,,,
5624,사과,,,,,,,,,,,,,
5625,유정란/친환경,깐마늘/난지형/유,,,,,,,,,,,,
5626,깐마늘/난지형/유,당근,깻잎,,,,,,,,,,,
5627,두부,깐마늘/난지형/유,,,,,,,,,,,,
5628,중파,,,,,,,,,,,,,
5629,완숙토마토,브로컬리,누룽지,,,,,,,,,,,
5630,두부,유정란/친환경,양파,오이,오분도미/유,,,,,,,,,
5631,두부,유정란/친환경,플레인요구르트,대파,,,,,,,,,,
5632,콩나물,,,,,,,,,,,,,
5633,두부,유정란/친환경,콩나물,,,,,,,,,,,
5634,두부,콩나물,,,,,,,,,,,,
5635,도토리묵,,,,,,,,,,,,,
5636,두부,콩나물,,,,,,,,,,,,
5637,두부,연두부,참기름,찹쌀백미/유,,,,,,,,,,
5638,오분도미/유,,,,,,,,,,,,,
5639,두부,콩나물,,,,,,,,,,,,
5640,두부,,,,,,,,,,,,,
5641,두부,연두부,,,,,,,,,,,,
5642,찹쌀백미/유,,,,,,,,,,,,,
5643,유정란/친환경,당근,팽이버섯,,,,,,,,,,,
5644,두부,유정란/친환경,,,,,,,,,,,,
5645,두부,,,,,,,,,,,,,
5646,두부,유정란/친환경,참기름,,,,,,,,,,,
5647,두부,유정란/친환경,,,,,,,,,,,,
5648,두부,유정란/친환경,,,,,,,,,,,,
5649,어린잎채소,가지,,,,,,,,,,,,
5650,상추,,,,,,,,,,,,,
5651,콩나물,,,,,,,,,,,,,
5652,상추,,,,,,,,,,,,,
5653,황토숙주나물,,,,,,,,,,,,,
5654,찌개용두부,,,,,,,,,,,,,
5655,두부,,,,,,,,,,,,,
5656,두부,,,,,,,,,,,,,
5657,두부,콩나물,,,,,,,,,,,,
5658,양배추,,,,,,,,,,,,,
5659,상추,,,,,,,,,,,,,
5660,두부,콩나물,,,,,,,,,,,,
5661,시금치,,,,,,,,,,,,,
5662,양배추,,,,,,,,,,,,,
5663,두부,연두부,,,,,,,,,,,,
5664,상추,,,,,,,,,,,,,
5665,두부,월동무,,,,,,,,,,,,
5666,연두부,황토숙주나물,,,,,,,,,,,,
5667,콩나물,,,,,,,,,,,,,
5668,두부,,,,,,,,,,,,,
5669,상추,상추,,,,,,,,,,,,
5670,연두부,,,,,,,,,,,,,
5671,브로컬리,,,,,,,,,,,,,
5672,연두부,도토리묵,,,,,,,,,,,,
5673,콩나물,찌개용두부,,,,,,,,,,,,
5674,양배추,,,,,,,,,,,,,
5675,연두부,,,,,,,,,,,,,
5676,시금치,당근,월동무,대파,,,,,,,,,,
5677,당면,,,,,,,,,,,,,
5678,두부,,,,,,,,,,,,,
5679,콩나물,얼갈이,,,,,,,,,,,,
5680,두부,,,,,,,,,,,,,
5681,두부,,,,,,,,,,,,,
5682,유정란/친환경,,,,,,,,,,,,,
5683,유정란/친환경,,,,,,,,,,,,,
5684,두부,동물복지유정란,얼갈이,얼갈이,,,,,,,,,,
5685,유정란/친환경,,,,,,,,,,,,,
5686,유정란/친환경,,,,,,,,,,,,,
5687,두부,완숙토마토,,,,,,,,,,,,
5688,두부,,,,,,,,,,,,,
5689,사과,,,,,,,,,,,,,
5690,동물복지유정란,,,,,,,,,,,,,
5691,당면,,,,,,,,,,,,,
5692,유정란/친환경,,,,,,,,,,,,,
5693,부추,,,,,,,,,,,,,
5694,유정란/친환경,,,,,,,,,,,,,
5695,유정란/친환경,콩나물,,,,,,,,,,,,
5696,두부,,,,,,,,,,,,,
5697,동물복지유정란,,,,,,,,,,,,,
5698,동물복지유정란,얼음식혜,,,,,,,,,,,,
5699,유정란/친환경,,,,,,,,,,,,,
5700,두부,동물복지유정란,,,,,,,,,,,,
5701,두부,유정란/친환경,,,,,,,,,,,,
5702,대파,,,,,,,,,,,,,
5703,유정란/친환경,,,,,,,,,,,,,
5704,유정란/친환경,오분도미/유,,,,,,,,,,,,
5705,유정란/친환경,,,,,,,,,,,,,
5706,두부,,,,,,,,,,,,,
5707,오분도미/유,,,,,,,,,,,,,
5708,완숙토마토,,,,,,,,,,,,,
5709,유정란/친환경,,,,,,,,,,,,,
5710,애호박,,,,,,,,,,,,,
5711,유정란/친환경,,,,,,,,,,,,,
5712,방울토마토/대추형,,,,,,,,,,,,,
5713,유정란/친환경,,,,,,,,,,,,,
5714,부추,,,,,,,,,,,,,
5715,유정란/친환경,오분도미/유,,,,,,,,,,,,
5716,유정란/친환경,,,,,,,,,,,,,
5717,오분도미/유,,,,,,,,,,,,,
5718,두부,유정란/친환경,콩나물,백미/유,,,,,,,,,,
5719,유정란/친환경,백미/유,,,,,,,,,,,,
5720,유정란/친환경,쌈채소모음,,,,,,,,,,,,
5721,두부,유정란/친환경,방울토마토/대추형,완숙토마토,중파,,,,,,,,,
5722,시금치,대파,,,,,,,,,,,,
5723,구운도시락김,,,,,,,,,,,,,
5724,찌개용두부,,,,,,,,,,,,,
5725,찌개용두부,,,,,,,,,,,,,
5726,상추,,,,,,,,,,,,,
5727,방울토마토/대추형,,,,,,,,,,,,,
5728,백미/유,,,,,,,,,,,,,
5729,백미/유,,,,,,,,,,,,,
5730,백미/유,,,,,,,,,,,,,
5731,백미/유,,,,,,,,,,,,,
5732,중파,,,,,,,,,,,,,
5733,플레인요구르트,,,,,,,,,,,,,
5734,양파,,,,,,,,,,,,,
5735,유정란/친환경,유기농우유,,,,,,,,,,,,
5736,유정란/친환경,양송이버섯,,,,,,,,,,,,
5737,두부,유정란/친환경,,,,,,,,,,,,
5738,양파,,,,,,,,,,,,,
5739,두부,,,,,,,,,,,,,
5740,유정란/친환경,월동무,,,,,,,,,,,,
5741,사과/,,,,,,,,,,,,,
5742,대파,,,,,,,,,,,,,
5743,콩나물,,,,,,,,,,,,,
5744,누룽지,,,,,,,,,,,,,
5745,콩나물,,,,,,,,,,,,,
5746,양파,,,,,,,,,,,,,
5747,명태참어묵,,,,,,,,,,,,,
5748,양배추,,,,,,,,,,,,,
5749,팽이버섯,,,,,,,,,,,,,
5750,당근,대파,찹쌀백미/유,,,,,,,,,,,
5751,월동무,,,,,,,,,,,,,
5752,팽이버섯,얼음식혜,,,,,,,,,,,,
5753,두부,,,,,,,,,,,,,
5754,월동무,,,,,,,,,,,,,
5755,대파,,,,,,,,,,,,,
5756,두부,,,,,,,,,,,,,
5757,깐마늘/난지형/유,,,,,,,,,,,,,
5758,쌈채소모음,,,,,,,,,,,,,
5759,누룽지,,,,,,,,,,,,,
5760,월동무,,,,,,,,,,,,,
5761,양배추,,,,,,,,,,,,,
5762,두부,얼갈이,,,,,,,,,,,,
5763,사과/,,,,,,,,,,,,,
5764,양송이버섯,,,,,,,,,,,,,
5765,얼갈이,부추,,,,,,,,,,,,
5766,사과/,브로컬리,쌈채소모음,,,,,,,,,,,
5767,두부,,,,,,,,,,,,,
5768,닭가슴살,,,,,,,,,,,,,
5769,두부,,,,,,,,,,,,,
5770,당근,명태참어묵,,,,,,,,,,,,
5771,애호박,,,,,,,,,,,,,
5772,양배추,,,,,,,,,,,,,
5773,월동무,,,,,,,,,,,,,
5774,오이,,,,,,,,,,,,,
5775,유정란/친환경,오이,얼갈이,,,,,,,,,,,
5776,양파,대파,양송이버섯,,,,,,,,,,,
5777,두부,,,,,,,,,,,,,
5778,쌈채소모음,,,,,,,,,,,,,
5779,두부,,,,,,,,,,,,,
5780,유정란/친환경,,,,,,,,,,,,,
5781,콩나물,,,,,,,,,,,,,
5782,완숙토마토,가지,,,,,,,,,,,,
5783,유정란/친환경,양파,콩나물,구운도시락김,,,,,,,,,,
5784,쌈채소모음,,,,,,,,,,,,,
5785,완숙토마토,중파,,,,,,,,,,,,
5786,애호박,얼갈이,,,,,,,,,,,,
5787,양파,,,,,,,,,,,,,
5788,쌈채소모음,,,,,,,,,,,,,
5789,사과/,,,,,,,,,,,,,
5790,두부,무,,,,,,,,,,,,
5791,유정란/친환경,완숙토마토,완숙토마토,당근,쌈채소모음,쌈채소모음,부추,부추,,,,,,
5792,오이,,,,,,,,,,,,,
5793,연두부,애호박,중파,,,,,,,,,,,
5794,황토숙주나물,구운도시락김,느타리버섯,,,,,,,,,,,
5795,방울토마토/대추형,,,,,,,,,,,,,
5796,두부,양파,양배추,,,,,,,,,,,
5797,얼갈이,중파,부추,,,,,,,,,,,
5798,완숙토마토,,,,,,,,,,,,,
5799,사과/,,,,,,,,,,,,,
5800,쌈채소모음,,,,,,,,,,,,,
5801,콩나물,팽이버섯,,,,,,,,,,,,
5802,방울토마토/대추형,깻잎,,,,,,,,,,,,
5803,중파,,,,,,,,,,,,,
5804,완숙토마토,,,,,,,,,,,,,
5805,오이,,,,,,,,,,,,,
5806,콩나물,,,,,,,,,,,,,
5807,콩나물,,,,,,,,,,,,,
5808,방울토마토/대추형,,,,,,,,,,,,,
5809,양파,양파,양파,쌈채소모음,,,,,,,,,,
5810,쌈채소모음,,,,,,,,,,,,,
5811,팽이버섯,부추,,,,,,,,,,,,
5812,오이,,,,,,,,,,,,,
5813,구운도시락김,,,,,,,,,,,,,
5814,당근,,,,,,,,,,,,,
5815,상추,,,,,,,,,,,,,
5816,상추,,,,,,,,,,,,,
5817,오분도미/유,,,,,,,,,,,,,
5818,두부,,,,,,,,,,,,,
5819,깻잎,,,,,,,,,,,,,
5820,양파,방울토마토/대추형,무,가지,,,,,,,,,,
5821,팽이버섯,도토리묵,,,,,,,,,,,,
5822,가지,,,,,,,,,,,,,
5823,콩나물,중파,,,,,,,,,,,,
5824,완숙토마토,,,,,,,,,,,,,
5825,콩국물,상추,,,,,,,,,,,,
5826,두부,콩나물,상추,가지,찹쌀백미/유,,,,,,,,,
5827,방울토마토/대추형,당근,중파,,,,,,,,,,,
5828,양파,,,,,,,,,,,,,
5829,명태참어묵,쌈채소모음,중파,,,,,,,,,,,
