,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,all-confidence,collective strength,cosine similarity
43,frozenset({'구운김밥김'}),frozenset({'단무지'}),0.02233517790520069,0.0281693667526354,0.005083005734031099,0.22757847533632286,8.078934728450424,0.004453837916134141,1.2581609939864284,0.896238961360108,{'단무지 => 구운김밥김': 0.18044444444444444},3.2416300371054043,0.20264567981967066
42,frozenset({'단무지'}),frozenset({'구운김밥김'}),0.0281693667526354,0.02233517790520069,0.005083005734031099,0.18044444444444444,8.078934728450424,0.004453837916134141,1.1929207427946305,0.9016193508787338,{'단무지 => 구운김밥김': 0.18044444444444444},3.2416300371054043,0.20264567981967066
20,frozenset({'당근'}),frozenset({'양파'}),0.060269925132083034,0.07361594511355385,0.007712146630943736,0.12796011632737847,1.7382119611450728,0.0032753191304223115,1.0623184469326707,0.4519342102075914,{'양파 => 당근': 0.10476190476190475},3.0706846621915775,0.11578145585546536
21,frozenset({'양파'}),frozenset({'당근'}),0.07361594511355385,0.060269925132083034,0.007712146630943736,0.10476190476190475,1.7382119611450726,0.0032753191304223115,1.0496984878843751,0.45844503362680505,{'양파 => 당근': 0.10476190476190475},3.0706846621915775,0.11578145585546536
2,frozenset({'콩나물'}),frozenset({'두부'}),0.09865538222700754,0.1873951473570874,0.02015674687633022,0.20431472081218274,1.0902882155366305,0.0016692069863303606,1.021264152922831,0.0918753236337673,{'두부 => 콩나물': 0.10756280064136826},3.022537183834453,0.14824528182312458
3,frozenset({'두부'}),frozenset({'콩나물'}),0.1873951473570874,0.09865538222700754,0.02015674687633022,0.10756280064136826,1.0902882155366305,0.0016692069863303606,1.0099810030563072,0.10190848380256745,{'두부 => 콩나물': 0.10756280064136826},3.022537183834453,0.14824528182312458
23,frozenset({'찌개용두부'}),frozenset({'콩나물'}),0.0722888549465408,0.09865538222700754,0.007561910008263014,0.10460685833044683,1.0603259139956993,0.000430225392759327,1.0066467742787735,0.06132700574666417,{'콩나물 => 찌개용두부': 0.0766497461928934},3.0075683303696,0.08954378337475309
22,frozenset({'콩나물'}),frozenset({'찌개용두부'}),0.09865538222700754,0.0722888549465408,0.007561910008263014,0.0766497461928934,1.0603259139956993,0.000430225392759327,1.004722900360261,0.06312097016178869,{'콩나물 => 찌개용두부': 0.0766497461928934},3.0075683303696,0.08954378337475309
33,frozenset({'당근'}),frozenset({'콩나물'}),0.060269925132083034,0.09865538222700754,0.005809149410321256,0.09638554216867469,0.9769922328909546,-0.00013680309037752362,0.9974880436687783,-0.02444730377821976,{'콩나물 => 당근': 0.05888324873096446},2.997501668200174,0.0753358736166704
32,frozenset({'콩나물'}),frozenset({'당근'}),0.09865538222700754,0.060269925132083034,0.005809149410321256,0.05888324873096446,0.9769922328909545,-0.00013680309037752362,0.9985265628316055,-0.025461928934010242,{'콩나물 => 당근': 0.05888324873096446},2.997501668200174,0.0753358736166704
29,frozenset({'팽이버섯'}),frozenset({'두부'}),0.03487993589904099,0.1873951473570874,0.0063099381525903294,0.18090452261306533,0.9653639657399774,-0.00022639257501621927,0.9920758630425743,-0.03584293147151681,{'두부 => 팽이버섯': 0.03367183324425441},2.996696435500118,0.07804733767758248
28,frozenset({'두부'}),frozenset({'팽이버섯'}),0.1873951473570874,0.03487993589904099,0.0063099381525903294,0.03367183324425441,0.9653639657399772,-0.00022639257501621927,0.9987498008478397,-0.04228571053830988,{'두부 => 팽이버섯': 0.03367183324425441},2.996696435500118,0.07804733767758248
6,frozenset({'두부'}),frozenset({'양파'}),0.1873951473570874,0.07361594511355385,0.012043969251571226,0.06427044361304117,0.8730505804673555,-0.0017513016308144565,0.9900126041368218,-0.1517817378714824,{'두부 => 양파': 0.06427044361304117},2.976145572991416,0.10254264647557737
7,frozenset({'양파'}),frozenset({'두부'}),0.07361594511355385,0.1873951473570874,0.012043969251571226,0.16360544217687076,0.8730505804673554,-0.0017513016308144565,0.9715568388654587,-0.13566892128834962,{'두부 => 양파': 0.06427044361304117},2.976145572991416,0.10254264647557737
12,frozenset({'당근'}),frozenset({'두부'}),0.060269925132083034,0.1873951473570874,0.009590104414452762,0.1591192355629414,0.8491107577067333,-0.0017041870868745625,0.9663734586519223,-0.15902761432513848,{'두부 => 당근': 0.05117584179583111},2.976351652218325,0.09023890971107015
13,frozenset({'두부'}),frozenset({'당근'}),0.1873951473570874,0.060269925132083034,0.009590104414452762,0.05117584179583111,0.8491107577067333,-0.0017041870868745625,0.9904154175906901,-0.17944190029638987,{'두부 => 당근': 0.05117584179583111},2.976351652218325,0.09023890971107015
26,frozenset({'유기농우유'}),frozenset({'유정란/친환경'}),0.041290031800085135,0.1951323334251446,0.006635450835065228,0.16070345664038813,0.823561394565274,-0.0014215694172838075,0.9589788888597808,-0.1826495818481428,{'유정란/친환경 => 유기농우유': 0.03400487617092263},2.9800126291796647,0.07392361695220027
27,frozenset({'유정란/친환경'}),frozenset({'유기농우유'}),0.1951323334251446,0.041290031800085135,0.006635450835065228,0.03400487617092263,0.823561394565274,-0.0014215694172838075,0.9924583929572179,-0.21022200893198195,{'유정란/친환경 => 유기농우유': 0.03400487617092263},2.9800126291796647,0.07392361695220027
41,frozenset({'중파'}),frozenset({'유정란/친환경'}),0.0332523724866665,0.1951323334251446,0.0052332423567118215,0.15737951807228917,0.8065271157773659,-0.0012553706785334911,0.9551959438886578,-0.19880461323140663,{'유정란/친환경 => 중파': 0.026818940074425767},2.982115269692605,0.06496731381335333
40,frozenset({'유정란/친환경'}),frozenset({'중파'}),0.1951323334251446,0.0332523724866665,0.0052332423567118215,0.026818940074425767,0.8065271157773658,-0.0012553706785334911,0.9933892749487616,-0.22960857037324234,{'유정란/친환경 => 중파': 0.026818940074425767},2.982115269692605,0.06496731381335333
31,frozenset({'두부'}),frozenset({'유기농우유'}),0.1873951473570874,0.041290031800085135,0.006134662092796154,0.032736504543025124,0.7928428028713125,-0.0016028895007596244,0.9911569832861117,-0.24330642312336584,{'두부 => 유기농우유': 0.032736504543025124},2.9770982964950976,0.06974111189478481
30,frozenset({'유기농우유'}),frozenset({'두부'}),0.041290031800085135,0.1873951473570874,0.006134662092796154,0.1485748938750758,0.7928428028713125,-0.0016028895007596244,0.954405556985871,-0.2141683192859645,{'두부 => 유기농우유': 0.032736504543025124},2.9770982964950976,0.06974111189478481
9,frozenset({'양파'}),frozenset({'유정란/친환경'}),0.07361594511355385,0.1951323334251446,0.011292786138167614,0.15340136054421769,0.7861401432124242,-0.003072065009137521,0.950707488842939,-0.22699671260495488,{'유정란/친환경 => 양파': 0.05787244963428718},2.9590729998871277,0.09422161382573728
8,frozenset({'유정란/친환경'}),frozenset({'양파'}),0.1951323334251446,0.07361594511355385,0.011292786138167614,0.05787244963428718,0.7861401432124241,-0.003072065009137521,0.9832894224639165,-0.25261067856788794,{'유정란/친환경 => 양파': 0.05787244963428718},2.9590729998871277,0.09422161382573728
