,회원번호,주문일시,전체물품명
0,18942336,2021-01-18,두부$콩나물$대파$느타리버섯
1,18942336,2021-02-14,두부$유정란/친환경$사골곰국$시금치$느타리버섯
2,18942336,2021-07-30,유정란/친환경$양파$애호박$가지$과일푸딩
3,18942336,2021-08-13,콩국물$사골곰국
4,26676288,2021-05-10,팽이버섯$무쌈
5,26676288,2021-05-17,오이
6,26676288,2021-08-31,깐마늘/난지형/유$중파
7,31691200,2021-01-23,도토리묵
8,31691200,2021-02-01,당근
9,31691200,2021-02-20,양파
10,31691200,2021-02-28,찌개용두부$도토리묵
11,31691200,2021-03-01,도토리묵
12,31691200,2021-03-02,팽이버섯$찌개용두부
13,31691200,2021-04-02,두부$딸기잼
14,31691200,2021-04-24,구운전장김
15,31691200,2021-04-26,오이
16,31691200,2021-05-15,찌개용두부
17,31691200,2021-05-21,단무지
18,31691200,2021-06-18,방울토마토/대추형
19,31691200,2021-08-24,찌개용두부
20,39640448,2021-06-04,양파
21,39640448,2021-06-11,유정란/친환경$찌개용두부
22,39640448,2021-06-27,두부$찌개용두부$단무지$무쌈
23,39640448,2021-09-21,두부$양파$동물복지유정란$느타리버섯
24,42140480,2021-03-06,두부$누룽지$단무지
25,42140480,2021-05-26,콩국물$유정란/친환경$양파$연두부$당근$중파
26,42140480,2021-06-15,유정란/친환경$시금치$당근
27,42140480,2021-07-11,두부$상추$중파$유기농성이시돌목장우유$깻잎
28,42140480,2021-09-18,유정란/친환경$백미/유
29,44666496,2021-04-25,두부$당근
30,44666496,2021-09-21,두부$콩나물
31,48859200,2021-08-22,콩국물$유기농성이시돌목장우유
32,51574528,2021-03-27,유기농우유
33,51574528,2021-06-09,콩나물$깻잎
34,51574528,2021-09-17,백미/유
35,51574528,2021-10-30,백미/유
36,51927168,2021-07-16,완숙토마토
37,53345152,2021-01-06,동물복지유정란
38,53345152,2021-01-11,시금치$깐마늘/난지형/유
39,53345152,2021-01-22,검은콩두유
40,53345152,2021-01-23,시금치$느타리버섯
41,53345152,2021-02-14,시금치$느타리버섯
42,53345152,2021-03-12,두부$상추$시금치
43,53345152,2021-04-16,브로컬리
44,53345152,2021-04-27,두부$오이$검은콩두유
45,53345152,2021-07-09,두부$가지$과일푸딩
46,53345152,2021-07-13,팽이버섯
