,회원번호,주문일시,전체물품명
0,19627200,2021-01-09,사과/
1,19627200,2021-01-20,대파$유기농우유
2,19627200,2021-01-22,두부$월동무
3,19627200,2021-01-25,두부
4,19627200,2021-01-29,콩나물
5,19627200,2021-02-07,명태참어묵
6,19627200,2021-02-12,유정란/친환경$시금치$당근
7,19627200,2021-02-14,사과/
8,19627200,2021-02-19,앞다리불고기-성남용인
9,19627200,2021-02-25,양파$대파
10,19627200,2021-03-01,브로컬리
11,19627200,2021-03-09,시금치$명태참어묵
12,19627200,2021-03-14,양파$사과/
13,19627200,2021-03-20,두부$대파$검은콩두유
14,19627200,2021-03-24,유정란/친환경
15,19627200,2021-03-27,시금치
16,19627200,2021-03-30,양파$사과/
17,19627200,2021-04-04,콩나물
18,19627200,2021-04-08,깐마늘/난지형/유
19,19627200,2021-04-14,오이$앞다리불고기-성남용인
20,19627200,2021-04-23,두부
21,19627200,2021-04-25,당근
22,19627200,2021-04-29,양파
23,19627200,2021-04-30,유정란/친환경$오이$닭가슴살
24,19627200,2021-05-11,양파$중파
25,19627200,2021-05-16,유정란/친환경$콩나물$앞다리불고기-성남용인
26,19627200,2021-05-24,유정란/친환경$무$유기농저지방우유
27,19627200,2021-05-26,시금치
28,19627200,2021-05-30,누룽지$중파
29,19627200,2021-05-31,양파
30,19627200,2021-06-09,유기농우유
31,19627200,2021-06-16,두부$앞다리불고기-성남용인$완숙토마토$유기농성이시돌목장우유
32,19627200,2021-06-22,중파$부추
33,19627200,2021-07-11,중파$가지
34,19627200,2021-07-14,쌈채소모음
35,19627200,2021-07-23,중파
36,19627200,2021-08-01,오이$단무지
37,19627200,2021-08-08,유정란/친환경$애호박
38,19627200,2021-08-11,콩국물
39,19627200,2021-08-13,사골곰국
40,19627200,2021-08-16,완숙토마토$유기농우유
41,19627200,2021-08-20,중파
42,19627200,2021-08-29,앞다리불고기-성남용인$명태참어묵$중파
43,19627200,2021-09-11,양배추
44,19627200,2021-09-15,유기농저지방우유$중파
45,19627200,2021-09-20,명태참어묵$부추
